Cell	BCR_ABL	Patient	Stage	process_date	input	mapped_reads	percent	n_detected_genes	used4analysis
K562H2	primers	K562	cell_line	batch3	1067361	868063	81.32796683	4729	1
K562H3	primers	K562	cell_line	batch3	3595538	2604546	72.43828323	1921	1
K562H5	no_primers	K562	cell_line	batch3	4873571	4044201	82.98229368	1335	1
K562H6	no_primers	K562	cell_line	batch3	617239	436582	70.73143466	2149	1
K562H7	no_primers	K562	cell_line	batch3	4887994	4161844	85.14421253	1322	1
K562H8	no_primers	K562	cell_line	batch3	4600778	4009854	87.1559984	1272	1
NBM_89A10	normal	NBM_89	normal_hsc	batch2	1702885	1420598	83.42301447	4322	1
NBM_89A11	normal	NBM_89	normal_hsc	batch2	2539354	1856482	73.10843624	3336	1
NBM_89A5	normal	NBM_89	normal_hsc	batch2	4622831	3119634	67.48319374	3420	1
NBM_89A6	normal	NBM_89	normal_hsc	batch2	561585	441550	78.62567554	5151	1
NBM_89A7	normal	NBM_89	normal_hsc	batch2	2711190	1997885	73.69033524	3663	1
NBM_89A8	normal	NBM_89	normal_hsc	batch2	5099623	3726558	73.07516654	3108	1
NBM_89A9	normal	NBM_89	normal_hsc	batch2	6073237	5300961	87.28394759	3126	1
NBM_89B10	normal	NBM_89	normal_hsc	batch2	2166760	1640739	75.72315346	3187	1
NBM_89B11	normal	NBM_89	normal_hsc	batch2	2679713	1986977	74.14887341	4511	1
NBM_89B7	normal	NBM_89	normal_hsc	batch2	4503425	2892930	64.23844074	3277	1
NBM_89B8	normal	NBM_89	normal_hsc	batch2	1373864	1171308	85.25647371	3819	1
NBM_89B9	normal	NBM_89	normal_hsc	batch2	5909235	5107872	86.43880299	3373	1
NBM_89C10	normal	NBM_89	normal_hsc	batch2	3318271	2412503	72.70361583	3363	1
NBM_89C11	normal	NBM_89	normal_hsc	batch2	2485634	2061306	82.92878195	3684	1
NBM_89C8	normal	NBM_89	normal_hsc	batch2	5725149	4785512	83.58755379	3216	1
NBM_89C9	normal	NBM_89	normal_hsc	batch2	6333207	5130287	81.00614744	3168	1
NBM_89D10	normal	NBM_89	normal_hsc	batch2	2904798	2329356	80.1899478	3632	1
NBM_89D11	normal	NBM_89	normal_hsc	batch2	4487836	3750323	83.56640038	3294	1
NBM_89D7	normal	NBM_89	normal_hsc	batch2	4050087	3248673	80.21242507	2644	1
NBM_89D8	normal	NBM_89	normal_hsc	batch2	3702105	3029375	81.82844625	3180	1
NBM_89D9	normal	NBM_89	normal_hsc	batch2	5504446	4488438	81.54204801	3283	1
NBM_89E11	normal	NBM_89	normal_hsc	batch2	4584822	3859537	84.1807381	3243	1
NBM_89E8	normal	NBM_89	normal_hsc	batch2	3740684	3386402	90.52895139	3976	1
NBM_89E9	normal	NBM_89	normal_hsc	batch2	7366148	6290530	85.39782258	3271	1
NBM_89F10	normal	NBM_89	normal_hsc	batch2	6756299	5520339	81.70655266	3048	1
NBM_89F11	normal	NBM_89	normal_hsc	batch2	6847994	6006580	87.71298573	2946	1
NBM_89F6	normal	NBM_89	normal_hsc	batch2	3327654	2921892	87.80636448	3790	1
NBM_89F8	normal	NBM_89	normal_hsc	batch2	4759654	3736412	78.50175664	3447	1
NBM_89F9	normal	NBM_89	normal_hsc	batch2	7155813	5920710	82.73986478	3119	1
NBM_89G10	normal	NBM_89	normal_hsc	batch2	4056913	3625847	89.37453182	4329	1
NBM_89G11	normal	NBM_89	normal_hsc	batch2	4476948	3780591	84.44572061	3176	1
NBM_89G5	normal	NBM_89	normal_hsc	batch2	1869395	1190969	63.70879349	4481	1
NBM_89G6	normal	NBM_89	normal_hsc	batch2	4587603	3653894	79.64712727	3252	1
NBM_89G7	normal	NBM_89	normal_hsc	batch2	4268992	3519766	82.4495806	3452	1
NBM_89G8	normal	NBM_89	normal_hsc	batch2	5101173	4122420	80.81317768	3716	1
NBM_89G9	normal	NBM_89	normal_hsc	batch2	5786505	4932405	85.23979501	3169	1
NBM_89H10	normal	NBM_89	normal_hsc	batch2	2196773	1939226	88.27612138	2903	1
NBM_89H4	normal	NBM_89	normal_hsc	batch2	6633643	1734617	26.14878431	5682	1
NBM_89H5	normal	NBM_89	normal_hsc	batch2	2981708	2157777	72.36714662	3378	1
NBM_89H6	normal	NBM_89	normal_hsc	batch2	1001036	754425	75.36442246	3581	1
NBM_89H7	normal	NBM_89	normal_hsc	batch2	4886392	3928960	80.40615653	3024	1
NBM_89H8	normal	NBM_89	normal_hsc	batch2	2186659	1363438	62.35256618	4138	1
NBM_89H9	normal	NBM_89	normal_hsc	batch2	6513511	5942051	91.22654433	3115	1
NBM_91A1	normal	NBM_91	normal_hsc	batch2	3332178	25152	0.754821621	3182	0
NBM_91A2	normal	NBM_91	normal_hsc	batch2	804765	149570	18.58554982	4622	1
NBM_91A3	normal	NBM_91	normal_hsc	batch2	7339823	6258538	85.26824148	4350	1
NBM_91A4	normal	NBM_91	normal_hsc	batch2	759177	488302	64.31991486	4922	1
NBM_91A5	normal	NBM_91	normal_hsc	batch2	3344044	2746371	82.12723876	4071	1
NBM_91A6	normal	NBM_91	normal_hsc	batch2	987869	11288	1.142661628	2388	0
NBM_91B2	normal	NBM_91	normal_hsc	batch2	4538109	1986483	43.77336463	4254	1
NBM_91B3	normal	NBM_91	normal_hsc	batch2	2927074	1284381	43.87934846	5741	1
NBM_91B4	normal	NBM_91	normal_hsc	batch2	7264828	5069413	69.78022054	4463	1
NBM_91B5	normal	NBM_91	normal_hsc	batch2	4928081	4134253	83.89174204	3796	1
NBM_91C1	normal	NBM_91	normal_hsc	batch2	8933499	15827	0.177164625	2591	0
NBM_91C2	normal	NBM_91	normal_hsc	batch2	1721397	665469	38.65865922	4140	1
NBM_91C3	normal	NBM_91	normal_hsc	batch2	2362969	2119755	89.70727081	4733	1
NBM_91C4	normal	NBM_91	normal_hsc	batch2	7970212	17249	0.216418334	2642	0
NBM_91C5	normal	NBM_91	normal_hsc	batch2	5404187	4802991	88.87536645	4199	1
NBM_91C6	normal	NBM_91	normal_hsc	batch2	5735367	4623726	80.61778784	3421	1
NBM_91D1	normal	NBM_91	normal_hsc	batch2	4749944	1250788	26.3326894	4208	1
NBM_91D2	normal	NBM_91	normal_hsc	batch2	3040471	2262346	74.40774801	3813	1
NBM_91D3	normal	NBM_91	normal_hsc	batch2	4282686	3254832	75.99978145	3571	1
NBM_91D4	normal	NBM_91	normal_hsc	batch2	4269348	120350	2.818931603	4086	1
NBM_91D5	normal	NBM_91	normal_hsc	batch2	9307804	7454362	80.08722573	3852	1
NBM_91D6	normal	NBM_91	normal_hsc	batch2	6536932	23201	0.35492185	2655	0
NBM_91E1	normal	NBM_91	normal_hsc	batch2	1518314	26654	1.75549985	2759	0
NBM_91E2	normal	NBM_91	normal_hsc	batch2	1792783	1250026	69.7254492	5171	1
NBM_91E3	normal	NBM_91	normal_hsc	batch2	2210269	1438113	65.06506674	3829	1
NBM_91E4	normal	NBM_91	normal_hsc	batch2	2627065	2102759	80.04213828	4517	1
NBM_91E5	normal	NBM_91	normal_hsc	batch2	6726956	4508494	67.02130949	3544	1
NBM_91E6	normal	NBM_91	normal_hsc	batch2	5464240	2486585	45.50651143	3086	1
NBM_91F1	normal	NBM_91	normal_hsc	batch2	3572089	2007041	56.18675794	3760	1
NBM_91F2	normal	NBM_91	normal_hsc	batch2	2232047	992819	44.48020136	4407	1
NBM_91F3	normal	NBM_91	normal_hsc	batch2	2567059	2081177	81.07242568	4625	1
NBM_91F4	normal	NBM_91	normal_hsc	batch2	4447484	3690212	82.97302475	4943	1
NBM_91F5	normal	NBM_91	normal_hsc	batch2	4003291	3469808	86.67388906	3806	1
NBM_91F6	normal	NBM_91	normal_hsc	batch2	13848724	44070	0.318224264	3567	0
NBM_91G1	normal	NBM_91	normal_hsc	batch2	1785480	8281	0.46379685	1681	0
NBM_91G2	normal	NBM_91	normal_hsc	batch2	2323899	60337	2.596369291	3598	1
NBM_91G3	normal	NBM_91	normal_hsc	batch2	7405212	4340080	58.60845037	4935	1
NBM_91G4	normal	NBM_91	normal_hsc	batch2	122752	4704	3.832116788	1245	0
NBM_91G5	normal	NBM_91	normal_hsc	batch2	4386185	3968506	90.47739664	4148	1
NBM_91H1	normal	NBM_91	normal_hsc	batch2	1015065	6261	0.616807791	1762	0
NBM_91H2	normal	NBM_91	normal_hsc	batch2	947437	563933	59.52195238	3639	1
NBM_91H3	normal	NBM_91	normal_hsc	batch2	4702721	12233	0.260125999	2147	0
NBM_91H5	normal	NBM_91	normal_hsc	batch2	5140061	23833	0.46367154	3266	0
NBMA3	normal	NBM_91	normal_hsc	batch1	1668144	911043	54.61417	5387	1
NBMA5	normal	NBM_91	normal_hsc	batch1	10011266	6356912	63.49758362	4581	1
NBMB5	normal	NBM_91	normal_hsc	batch1	18883539	12112240	64.14179037	4742	1
NBMC5	normal	NBM_91	normal_hsc	batch1	12663498	8151432	64.36951307	4953	1
NBMD5	normal	NBM_91	normal_hsc	batch1	22890808	15108201	66.00116955	4104	1
NBME2	normal	NBM_91	normal_hsc	batch1	6769013	5311102	78.46198552	2871	1
NBME3	normal	NBM_91	normal_hsc	batch1	7600041	1598219	21.02908392	4355	1
NBME5	normal	NBM_91	normal_hsc	batch1	16075400	13776725	85.70066686	3425	1
NBMF2	normal	NBM_91	normal_hsc	batch1	4311241	3067420	71.1493512	4281	1
NBMF5	normal	NBM_91	normal_hsc	batch1	12108990	10833161	89.46378682	3004	1
NBMG3	normal	NBM_91	normal_hsc	batch1	9528936	6505997	68.27621678	2821	1
NBMG5	normal	NBM_91	normal_hsc	batch1	12887691	10490861	81.4021767	2608	1
NBMH2	normal	NBM_91	normal_hsc	batch1	1674149	1090228	65.12132433	4155	1
OX1249A10	negative	OX1249	diagnosis	batch2	883925	405573	45.88319145	4770	1
OX1249A11	negative	OX1249	diagnosis	batch2	1579888	814009	51.52320924	4069	1
OX1249A12	negative	OX1249	diagnosis	batch2	2798892	608215	21.73056338	3432	1
OX1249A3	negative	OX1249	diagnosis	batch1	3037899	888012	29.23112322	4092	0
OX1249A3_merged	negative	OX1249	diagnosis	batch2	9698235	2884674	29.74431946	3979	1
OX1249A3_reseq	negative	OX1249	diagnosis	batch2	6660336	1995277	29.95760274	3964	0
OX1249A4	negative	OX1249	diagnosis	batch1	545497	145289	26.63424363	3565	1
OX1249A5	positive	OX1249	diagnosis	batch1	2342320	1183369	50.52123536	4084	1
OX1249A8	negative	OX1249	diagnosis	batch2	6381466	3054052	47.85815673	3381	1
OX1249A9	negative_low_gapdh	OX1249	diagnosis	batch2	1746692	765281	43.81316225	3772	1
OX1249B10	positive	OX1249	diagnosis	batch2	757418	497501	65.68381	5154	1
OX1249B11	negative	OX1249	diagnosis	batch2	2089558	1132516	54.19883057	3719	1
OX1249B4	negative	OX1249	diagnosis	batch1	8683181	2770596	31.90761542	2886	1
OX1249B7	positive	OX1249	diagnosis	batch2	3199663	1581871	49.43867526	3534	1
OX1249B8	positive	OX1249	diagnosis	batch2	2773805	1764371	63.60832863	6219	1
OX1249B9	positive	OX1249	diagnosis	batch2	3541137	2598585	73.38278638	4528	1
OX1249C10	negative_low_gapdh	OX1249	diagnosis	batch2	2149949	1276185	59.35884991	4226	1
OX1249C11	negative	OX1249	diagnosis	batch2	4882173	3311481	67.82801429	3613	1
OX1249C2	negative_low_gapdh	OX1249	diagnosis	batch1	2332146	1107740	47.4987415	3548	0
OX1249C2_merged	negative_low_gapdh	OX1249	diagnosis	batch2	9149536	4433607	48.45717859	3337	1
OX1249C2_reseq	negative_low_gapdh	OX1249	diagnosis	batch2	6817390	3324851	48.77014517	3278	0
OX1249C3	negative	OX1249	diagnosis	batch1	2878389	1850713	64.2968341	4015	0
OX1249C3_merged	negative	OX1249	diagnosis	batch2	9341572	6082882	65.11625666	4001	1
OX1249C3_reseq	negative	OX1249	diagnosis	batch2	6463183	4230987	65.46289963	3961	0
OX1249C4	negative	OX1249	diagnosis	batch1	5265509	2736474	51.96979057	3692	1
OX1249C6	negative_low_gapdh	OX1249	diagnosis	batch1	2733700	1211226	44.30720269	3095	0
OX1249C6_merged	negative_low_gapdh	OX1249	diagnosis	batch2	8016785	3672550	45.8107583	3130	1
OX1249C6_reseq	negative_low_gapdh	OX1249	diagnosis	batch2	5283085	2460861	46.58000013	3124	0
OX1249C7	positive	OX1249	diagnosis	batch2	4844641	4122701	85.09817343	4998	1
OX1249C8	negative_low_gapdh	OX1249	diagnosis	batch2	5129301	3009115	58.66520604	3828	1
OX1249C9	negative	OX1249	diagnosis	batch2	8708972	6041857	69.37508813	3352	1
OX1249D10	positive	OX1249	diagnosis	batch2	4190054	2967648	70.82600845	4512	1
OX1249D12	negative	OX1249	diagnosis	batch2	5658212	3568499	63.06760864	3164	1
OX1249D3	negative	OX1249	diagnosis	batch1	2576637	1430529	55.51922913	2958	0
OX1249D3_merged	negative	OX1249	diagnosis	batch2	6024267	3421443	56.79434527	2825	1
OX1249D3_reseq	negative	OX1249	diagnosis	batch2	3447630	1990627	57.73899751	2724	0
OX1249D4	negative	OX1249	diagnosis	batch1	7951548	2825344	35.53199956	2578	1
OX1249D5	positive	OX1249	diagnosis	batch1	3297491	1906380	57.81304634	3607	0
OX1249D5_merged	positive	OX1249	diagnosis	batch2	8066580	4726179	58.58962534	3628	1
OX1249D5_reseq	positive	OX1249	diagnosis	batch2	4769089	2819053	59.11093293	3629	0
OX1249D6	negative	OX1249	diagnosis	batch1	3069648	1501474	48.91355621	2970	0
OX1249D6_merged	negative	OX1249	diagnosis	batch2	8922307	4467984	50.07655531	2992	1
OX1249D6_reseq	negative	OX1249	diagnosis	batch2	5852659	2965944	50.67686329	2972	0
OX1249D7	negative	OX1249	diagnosis	batch2	5982953	3839872	64.18021335	3766	1
OX1249D8	negative_low_gapdh	OX1249	diagnosis	batch2	5460390	3862902	70.74406773	3195	1
OX1249D9	positive	OX1249	diagnosis	batch2	2996007	1716268	57.28517991	3611	1
OX1249E10	negative	OX1249	diagnosis	batch2	3631114	2683911	73.91425882	3615	1
OX1249E11	negative	OX1249	diagnosis	batch2	7129913	4571783	64.12116109	2902	1
OX1249E12	positive	OX1249	diagnosis	batch2	6371137	4441732	69.7164729	3812	1
OX1249E3	negative	OX1249	diagnosis	batch1	4689189	2213899	47.21283361	2556	1
OX1249E5	negative	OX1249	diagnosis	batch1	2395477	1610754	67.24147216	2736	0
OX1249E5_merged	negative	OX1249	diagnosis	batch2	5663637	3839803	67.79747713	2668	1
OX1249E5_reseq	negative	OX1249	diagnosis	batch2	3268160	2228688	68.19396847	2626	0
OX1249E6	negative_low_gapdh	OX1249	diagnosis	batch1	4714922	2433359	51.60974031	2608	1
OX1249E8	negative_low_gapdh	OX1249	diagnosis	batch2	7025984	4327746	61.5962974	2938	1
OX1249E9	negative	OX1249	diagnosis	batch2	5798049	3592161	61.95465061	2636	1
OX1249F10	positive	OX1249	diagnosis	batch2	2826222	1789618	63.3219188	5329	1
OX1249F11	negative	OX1249	diagnosis	batch2	6056936	3563245	58.82916709	3016	1
OX1249F12	negative	OX1249	diagnosis	batch2	3535810	1708549	48.32128989	3158	1
OX1249F2	negative	OX1249	diagnosis	batch1	3348670	1638976	48.94408825	5778	0
OX1249F2_merged	negative	OX1249	diagnosis	batch2	10679665	5267023	49.31824172	5676	1
OX1249F2_reseq	negative	OX1249	diagnosis	batch2	7330995	3627608	49.4831602	5621	0
OX1249F4	negative	OX1249	diagnosis	batch1	7229166	3102271	42.91326275	2810	1
OX1249F5	positive	OX1249	diagnosis	batch1	3203001	2451880	76.54946096	3659	1
OX1249F9	negative	OX1249	diagnosis	batch2	4822458	1474914	30.58427881	1905	1
OX1249G10	positive	OX1249	diagnosis	batch2	3019379	2468581	81.75790452	5271	1
OX1249G11	negative	OX1249	diagnosis	batch2	6154677	4269483	69.36973297	3827	1
OX1249G12	negative_low_gapdh	OX1249	diagnosis	batch2	3050139	1968831	64.54889433	3371	1
OX1249G2	negative	OX1249	diagnosis	batch1	3912126	2623549	67.06197602	4686	1
OX1249G3	negative_low_gapdh	OX1249	diagnosis	batch1	5582535	1105724	19.80684402	3616	1
OX1249G4	negative	OX1249	diagnosis	batch1	295749	128326	43.39017207	3026	1
OX1249G7	negative_low_gapdh	OX1249	diagnosis	batch2	2209038	1358084	61.47852595	3134	1
OX1249G8	negative	OX1249	diagnosis	batch2	5194374	3387914	65.22275832	3655	1
OX1249G9	negative	OX1249	diagnosis	batch2	4171035	3112151	74.61339931	3381	1
OX1249H10	negative_low_gapdh	OX1249	diagnosis	batch2	3582960	2370174	66.15128274	2980	1
OX1249H11	negative_low_gapdh	OX1249	diagnosis	batch2	9693637	146506	1.511362557	1944	1
OX1249H2	negative_low_gapdh	OX1249	diagnosis	batch1	1830864	556893	30.41695069	3594	1
OX1249H4	negative	OX1249	diagnosis	batch1	5121027	2073866	40.49707217	2569	1
OX1249H5	negative	OX1249	diagnosis	batch1	5386372	1923819	35.71641543	3323	0
OX1249H5_merged	negative	OX1249	diagnosis	batch2	11143148	3961056	35.54701059	3382	1
OX1249H5_reseq	negative	OX1249	diagnosis	batch2	5756776	2036792	35.38077563	3443	0
OX1249H7	negative_low_gapdh	OX1249	diagnosis	batch2	8800056	5291510	60.13041281	2644	1
OX1249H8	negative_low_gapdh	OX1249	diagnosis	batch2	7242725	3617725	49.94977719	3495	1
OX1249H9	negative_low_gapdh	OX1249	diagnosis	batch2	4834446	2096263	43.36097662	2761	1
OX1302A1	positive	OX1302	diagnosis	batch1	3496542	1936103	55.37193604	4951	0
OX1302A1_merged	positive	OX1302	diagnosis	batch2	4419717	2428889	54.95575848	5064	1
OX1302A1_reseq	positive	OX1302	diagnosis	batch2	923175	491598	53.2507921	5201	0
OX1302A2	positive	OX1302	diagnosis	batch1	1767448	1106297	62.59290231	6336	0
OX1302A2_merged	positive	OX1302	diagnosis	batch2	2607582	1616609	61.99647796	6645	1
OX1302A2_reseq	positive	OX1302	diagnosis	batch2	840134	510236	60.73269264	6817	0
OX1302A3	positive	OX1302	diagnosis	batch1	6014676	1879054	31.24115081	5057	1
OX1302A4	positive	OX1302	diagnosis	batch1	378200	110219	29.14304601	4139	0
OX1302A4_merged	positive	OX1302	diagnosis	batch2	504934	146450	29.00379059	4573	1
OX1302A4_reseq	positive	OX1302	diagnosis	batch2	126734	36221	28.58033361	3227	0
OX1302A5	positive	OX1302	diagnosis	batch1	2153359	1746405	81.10143269	3964	0
OX1302A5_merged	positive	OX1302	diagnosis	batch2	4859048	3971513	81.73438501	3996	1
OX1302A5_reseq	positive	OX1302	diagnosis	batch2	2705689	2224253	82.20652854	3992	0
OX1302A6	positive	OX1302	diagnosis	batch1	577643	415213	71.88055598	3495	0
OX1302A6_merged	positive	OX1302	diagnosis	batch2	1934310	1382836	71.48988528	4721	1
OX1302A6_reseq	positive	OX1302	diagnosis	batch2	1356667	967671	71.32708321	4821	0
OX1302A7	positive	OX1302	diagnosis	batch1	1368780	955600	69.81399494	3894	0
OX1302A7_merged	positive	OX1302	diagnosis	batch2	3501498	2471601	70.58696021	3724	1
OX1302A7_reseq	positive	OX1302	diagnosis	batch2	2132718	1514444	71.01004446	3677	0
OX1302B10	positive	OX1302	diagnosis	batch1	9379708	3694244	39.38549047	4569	1
OX1302B11	positive	OX1302	diagnosis	batch1	6622	4873	73.58803987	1115	0
OX1302B2	positive	OX1302	diagnosis	batch1	3053603	1717627	56.24919153	4817	0
OX1302B2_merged	positive	OX1302	diagnosis	batch2	6486906	3730119	57.50228229	4834	1
OX1302B2_reseq	positive	OX1302	diagnosis	batch2	3433303	2010664	58.56354653	4867	0
OX1302B3	positive	OX1302	diagnosis	batch1	5403066	2549181	47.18026765	4390	1
OX1302B8	positive	OX1302	diagnosis	batch1	2528845	1852161	73.24138095	4971	1
OX1302C1	positive	OX1302	diagnosis	batch1	7510195	2092063	27.85630733	5383	1
OX1302C11	positive	OX1302	diagnosis	batch1	8538438	5071261	59.39331058	4845	1
OX1302C2	positive	OX1302	diagnosis	batch1	6949576	3200431	46.05217642	4521	1
OX1302C3	positive	OX1302	diagnosis	batch1	6139115	1680034	27.36606172	4660	0
OX1302C3_merged	positive	OX1302	diagnosis	batch2	9044919	2420517	26.76106884	4803	1
OX1302C3_reseq	positive	OX1302	diagnosis	batch2	2905804	740407	25.48028016	3458	0
OX1302C5	positive	OX1302	diagnosis	batch1	1414189	647837	45.80978921	4387	0
OX1302C5_merged	positive	OX1302	diagnosis	batch2	3804396	1799322	47.2958651	4533	1
OX1302C5_reseq	positive	OX1302	diagnosis	batch2	2390207	1151642	48.18168468	4568	0
OX1302C6	negative	OX1302	diagnosis	batch1	13951899	6762545	48.47042686	4541	1
OX1302C7	positive	OX1302	diagnosis	batch1	7793504	4419839	56.71183334	3473	1
OX1302D1	positive	OX1302	diagnosis	batch1	7785909	3495872	44.89998535	4670	1
OX1302D10	positive	OX1302	diagnosis	batch1	8466253	4924387	58.16489302	4362	1
OX1302D11	positive	OX1302	diagnosis	batch1	4798157	3507682	73.10477752	4751	1
OX1302D2	positive	OX1302	diagnosis	batch1	6036039	2851876	47.24747471	3998	1
OX1302D3	positive	OX1302	diagnosis	batch1	9492320	5191661	54.69327836	4064	1
OX1302D5	positive	OX1302	diagnosis	batch1	3342992	2587304	77.39486065	4144	1
OX1302D7	positive	OX1302	diagnosis	batch1	6219914	5109160	82.14197174	4496	1
OX1302D8	negative	OX1302	diagnosis	batch1	7800781	5615300	71.98381803	3795	1
OX1302E1	positive	OX1302	diagnosis	batch1	7009086	2531145	36.11234047	4448	1
OX1302E10	positive	OX1302	diagnosis	batch1	3372878	1787602	52.99930801	4568	0
OX1302E10_merged	positive	OX1302	diagnosis	batch2	6832138	3630464	53.13803673	4533	1
OX1302E10_reseq	positive	OX1302	diagnosis	batch2	3459260	1840980	53.21889653	4502	0
OX1302E11	positive	OX1302	diagnosis	batch1	13188593	9308646	70.58103924	4391	1
OX1302E2	positive	OX1302	diagnosis	batch1	2761767	1228027	44.46526445	3896	0
OX1302E2_merged	positive	OX1302	diagnosis	batch2	5926567	2665507	44.97556511	3860	1
OX1302E2_reseq	positive	OX1302	diagnosis	batch2	3164800	1436408	45.38700708	3794	0
OX1302E3	positive	OX1302	diagnosis	batch1	4277140	2739327	64.04576423	5064	1
OX1302E7	positive	OX1302	diagnosis	batch1	4541893	3215986	70.80717225	4160	1
OX1302E8	positive	OX1302	diagnosis	batch1	5120654	3199657	62.48531926	3998	1
OX1302E9	positive	OX1302	diagnosis	batch1	6122134	352589	5.759249961	4763	1
OX1302F10	positive	OX1302	diagnosis	batch1	4083269	965034	23.63385807	4488	0
OX1302F10_merged	positive	OX1302	diagnosis	batch2	6804024	1610630	23.6717272	4360	1
OX1302F10_reseq	positive	OX1302	diagnosis	batch2	2720755	645486	23.72451764	4095	0
OX1302F11	positive	OX1302	diagnosis	batch1	4782005	3011937	62.98481495	4961	1
OX1302F12	positive	OX1302	diagnosis	batch1	3168369	1227968	38.75710184	4615	1
OX1302F2	positive	OX1302	diagnosis	batch1	2805062	1723651	61.44787531	4042	0
OX1302F2_merged	positive	OX1302	diagnosis	batch2	6913530	4283000	61.95098597	3921	1
OX1302F2_reseq	positive	OX1302	diagnosis	batch2	4108468	2558156	62.26544785	3852	0
OX1302F3	positive	OX1302	diagnosis	batch1	11781423	5285418	44.86230568	4014	1
OX1302F4	negative	OX1302	diagnosis	batch1	3975496	2489593	62.62345629	4552	1
OX1302F5	positive	OX1302	diagnosis	batch1	4875548	2535201	51.99827794	4013	1
OX1302F7	positive	OX1302	diagnosis	batch1	4925881	3642373	73.94358491	5629	1
OX1302F8	positive	OX1302	diagnosis	batch1	7700811	5984304	77.71004898	4955	1
OX1302F9	positive	OX1302	diagnosis	batch1	5900828	3583583	60.7301721	4420	1
OX1302G10	positive	OX1302	diagnosis	batch1	4100774	1462770	35.67058316	4528	0
OX1302G10_merged	positive	OX1302	diagnosis	batch2	7469567	2678883	35.86396641	4525	1
OX1302G10_reseq	positive	OX1302	diagnosis	batch2	3368793	1215102	36.06935778	4517	0
OX1302G11	positive	OX1302	diagnosis	batch1	9111955	5039003	55.3010084	4689	1
OX1302G12	positive	OX1302	diagnosis	batch1	2959811	843813	28.50901629	4722	0
OX1302G12_merged	positive	OX1302	diagnosis	batch2	4996199	1430375	28.62926397	4731	1
OX1302G12_reseq	positive	OX1302	diagnosis	batch2	2036388	586500	28.8009947	4633	0
OX1302G2	positive	OX1302	diagnosis	batch1	3337792	2294720	68.74964048	3820	1
OX1302G3	positive	OX1302	diagnosis	batch1	3553353	2119498	59.64783122	4615	1
