gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust	chromosome	strand	start	end	length	tss	chromosome	start	end	peak_loc	chip_count_dup	contr_count_dup	chip_count	contr_count	adj.pvalueNtags	foldChangeNtags	Distance_From_Nearest_TSS
CLU	4.49695612749833	0.0521965501042824	-4.44475957739405	8	124	5	1	0.625	0.00806451612903226	4.36476686818522e-13	1.06487319424021e-06	4.97391497991852e-16	2.64775459451128e-20	3.39089105070411e-17	chr8	-	27454433	27472328	17895	27472328	chr8	27471665	27471916	27471783	45	0	25	0	0	26	545
SCRN1	3.39416885439357	0.0198813309409381	-3.37428752345263	8	124	5	1	0.625	0.00806451612903226	4.36476686818522e-13	1.06487319424021e-06	4.97391497991852e-16	2.64775459451128e-20	3.39089105070411e-17	chr7	-	29959718	30029905	70187	30029905	chr7	29995753	29996021	29995894	65	3	31	3	6.59835514004187e-08	8	34011
PIEZO2	2.74824932221606	0.0367837146813591	-2.7114656075347	8	124	5	1	0.625	0.00806451612903226	4.36476686818522e-13	1.06487319424021e-06	6.18039492353838e-16	3.27570472922367e-20	3.87238694451611e-17	chr18	-	10670243	11148761	478518	11148761	chr18	10822516	10822835	10822752	45	2	26	2	2.07031897310279e-07	9	326009
ABLIM1	4.92599679173551	0.299605251345187	-4.62639154039033	8	124	7	6	0.875	0.0483870967741935	2.69261418850897e-12	1.11593986132525e-07	7.45064934902899e-14	3.92745017866321e-19	4.31121816754973e-16	chr10	-	116190868	116444414	253546	116444414	chr10	116508866	116509094	116508982	57	1	31	1	5.98243492853694e-10	16	-64568
C16orf45	3.07554022984937	0	-3.07554022984937	8	124	4	0	0.5	0	4.14648707046414e-12	5.79336634724527e-06	1.88766576479568e-15	5.13576123725658e-19	4.64272815847995e-16	chr16	+	15528324	15682116	153792	15528324	chr16	15466416	15466654	15466540	25	3	24	3	4.15289343701209e-06	6.25	-61784
HOXA3	2.5532928307002	0	-2.5532928307002	8	124	4	0	0.5	0	4.14648707046414e-12	5.79336634724527e-06	1.88766576479568e-15	5.13576123725658e-19	4.64272815847995e-16	chr7	-	27145808	27166639	20831	27166639	chr7	26728690	26728898	26728808	48	6	25	4	9.87185850298146e-06	5.2	437831
DTD1	4.44868278979598	0.00256684998429005	-4.44611593981169	8	124	5	2	0.625	0.0161290322580645	3.25564554976656e-11	3.65323393220026e-06	5.18926571578094e-14	8.36210268249555e-18	7.13937744581065e-15	chr20	+	18568555	18744560	176005	18568555	chr20	18547867	18548206	18548090	47	3	29	2	3.14101035869384e-08	10	-20465
AVP	8.67125246248042	0.213614407808932	-8.45763805467149	8	124	8	16	1	0.129032258064516	1.08016060104664e-08	3.99405037567945e-07	2.3448316943636e-12	3.9814177185205e-17	3.22033828938016e-14	chr20	-	3063201	3065370	2169	3065370	chr20	3071130	3071563	3071421	108	3	42	2	7.05595071298108e-12	14.3333333333333	-6051
PTRF	3.43969184107089	0.0839206024268631	-3.35577123864403	8	124	6	6	0.75	0.0483870967741935	1.39492802106382e-09	3.63464498112543e-06	4.13737254728384e-12	5.97544602081553e-16	4.59153272239465e-13	chr17	-	40554466	40575338	20872	40575338	chr17	40608677	40609148	40608940	117	2	56	2	6.57682312057805e-16	19	-33602
MYCT1	2.4644646779244	0.019582647791948	-2.44488203013245	8	124	4	1	0.5	0.00806451612903226	1.00375850950538e-09	2.82426609428207e-05	1.45216690540843e-12	1.58854404151434e-15	1.16251165857106e-12	chr6	+	153019029	153045715	26686	153019029	chr6	153018845	153019153	153019022	51	4	25	4	9.87185850298146e-06	5.2	-7
TMEM163	3.14080358378033	0.0584985090503267	-3.08230507473001	8	124	4	1	0.5	0.00806451612903226	1.00375850950538e-09	2.82426609428207e-05	2.70073548319539e-12	2.90704252054859e-15	2.03070133889958e-12	chr2	-	135213329	135476571	263242	135476571	chr2	135675662	135676307	135676153	79	2	40	2	2.6066527571649e-11	13.6666666666667	-199582
BEX2	4.80055271960244	0.0376951358246585	-4.76285758377779	8	124	6	7	0.75	0.0564516129032258	7.98954208380305e-09	6.65440297683363e-06	2.59188213454885e-11	6.43264972155578e-15	4.11904003836955e-12	chrX	-	102564273	102565974	1701	102565974	chrX	103401383	103401831	103401598	60	2	34	2	1.27652205410011e-09	11.6666666666667	-835624
GCSAML	2.56015720699899	0	-2.56015720699899	8	124	3	0	0.375	0	1.39418739885123e-08	0.000149468851758928	7.24488486351104e-12	3.83981660326843e-14	1.90355811480739e-11	chr1	+	247670359	247740992	70633	247670359	chr1	247711529	247711790	247711696	60	2	26	1	1.70231867763662e-08	13.5	41337
HOXA9	2.04401029179039	0	-2.04401029179039	8	124	3	0	0.375	0	1.39418739885123e-08	0.000149468851758928	7.24488486351104e-12	3.83981660326843e-14	1.90355811480739e-11	chr7	-	27202056	27205149	3093	27205149	chr7	26728690	26728898	26728808	48	6	25	4	9.87185850298146e-06	5.2	476341
CFH	3.60445280574387	0.146150613520969	-3.4583021922229	8	124	5	5	0.625	0.0403225806451613	7.96045936536728e-08	4.12536640802024e-05	1.12558127212038e-09	1.47200316487507e-12	6.65345430523531e-10	chr1	+	196621007	196716634	95627	196621007	chr1	195867927	195868323	195868042	66	4	38	4	5.76325992410462e-09	7.8	-752965
LAPTM4B	4.40931008621441	0.245248740732154	-4.16406134548225	8	124	5	5	0.625	0.0403225806451613	7.96045936536728e-08	4.12536640802024e-05	1.12558127212038e-09	1.47200316487507e-12	6.65345430523531e-10	chr8	+	98787808	98864830	77022	98787808	chr8	99057594	99057889	99057738	59	3	22	3	1.29308761937627e-05	5.75	269930
NGFRAP1	7.39058868914251	0.221695456961265	-7.16889323218125	8	124	7	18	0.875	0.145161290322581	3.47022034862139e-06	2.85196080747045e-05	5.7416460571992e-09	4.98460645655115e-12	2.18866948640794e-09	chrX	+	102631250	102633092	1842	102631250	chrX	103401383	103401831	103401598	60	2	34	2	1.27652205410011e-09	11.6666666666667	770348
CRYGD	2.08381323455121	0.00166577826555462	-2.08214745628566	8	124	3	1	0.375	0.00806451612903226	1.55445912839254e-06	0.000580495307993978	4.17564265393414e-09	6.72537605291028e-11	2.87098831058681e-08	chr2	-	208986330	208989313	2983	208989313	chr2	209130782	209131174	209131049	85	3	48	3	1.61899545408924e-12	12.25	-141736
PLCB4	2.38133876721226	0.0515259049536538	-2.3298128622586	8	124	3	1	0.375	0.00806451612903226	1.55445912839254e-06	0.000580495307993978	5.06672756532251e-09	8.10368482367206e-11	3.19326739410749e-08	chr20	+	9049700	9461462	411762	9049700	chr20	9100548	9100880	9100758	52	2	24	2	7.16262590329548e-07	8.33333333333333	51058
CXCL2	2.69920767698382	0.059679731976895	-2.63952794500692	8	124	3	1	0.375	0.00806451612903226	1.55445912839254e-06	0.000580495307993978	6.14179193346881e-09	9.75453080803441e-11	3.65628364531397e-08	chr4	-	74962753	74964997	2244	74964997	chr4	74959908	74960315	74960132	113	1	56	1	2.37113413189159e-17	28.5	4865
PAXIP1OS	2.50179148864672	0.473038072009959	-2.02875341663676	8	124	6	11	0.75	0.0887096774193548	1.12994485039047e-06	4.5283352782329e-05	2.14739195287322e-07	2.56292675432546e-10	8.95160417283493e-08	chr7	+	154720226	154741196	20970	154720226	chr7	154997218	154997591	154997399	91	3	45	3	1.09771379177847e-11	11.5	277173
CACNA1D	2.77670713163387	0.109738366596669	-2.6669687650372	8	124	4	4	0.5	0.032258064516129	4.03544868015606e-06	0.000366168685447933	4.32707410605531e-08	4.09865947730276e-10	1.39973775215975e-07	chr3	+	53529075	53846492	317417	53529075	chr3	53384721	53385007	53384816	59	4	33	4	1.10412830386588e-07	6.8	-144259
INPP4B	2.81780501219065	0.225362398708468	-2.59244261348218	8	124	5	8	0.625	0.0645161290322581	5.50769003435375e-06	0.000198031565954841	1.70137667447723e-07	8.46147985970714e-10	2.76672388263786e-07	chr4	-	142949181	143767604	818423	143767604	chr4	143738797	143739129	143739022	71	3	34	3	1.06660570133125e-08	8.75	28582
KDELR3	2.00543611664643	0	-2.00543611664643	8	124	2	0	0.25	0	3.83284432329807e-05	0.00323849178811011	2.5999806474713e-08	2.03746067169544e-09	3.72758280983518e-07	chr22	+	38864066	38879452	15386	38864066	chr22	39077820	39078031	39077943	64	5	28	5	6.90673542617981e-06	4.83333333333333	213877
PIM1	4.29574398751365	0.588154643370086	-3.70758934414357	8	124	6	13	0.75	0.104838709677419	6.21792520315834e-06	9.63718574046353e-05	6.49774244818403e-07	1.53380914303863e-09	3.72758280983518e-07	chr6	+	37137921	37143204	5283	37137921	chr6	37145113	37145423	37145221	55	2	31	2	8.72055680936387e-09	10.6666666666667	7300
SPINK2	8.63236548482544	0.713354021908604	-7.91901146291683	8	124	8	44	1	0.354838709677419	0.00116891912304257	0.000408673527674186	1.42348003278887e-07	1.42919126599375e-09	3.72758280983518e-07	chr4	-	57676025	57688035	12010	57688035	chr4	57670741	57671041	57670881	51	3	22	3	1.29308761937627e-05	5.75	17154
TUBAL3	2.15435512563871	0	-2.15435512563871	8	124	2	0	0.25	0	3.83284432329807e-05	0.00323849178811011	2.5999806474713e-08	2.03746067169544e-09	3.72758280983518e-07	chr10	-	5435060	5446793	11733	5446793	chr10	5159221	5159515	5159327	80	3	37	2	1.83390715896669e-10	12.6666666666667	287466
STAT4	3.18955859353721	0.314787119935326	-2.87477147360188	8	124	5	9	0.625	0.0725806451612903	1.51933191758634e-05	0.000301671859631074	8.4343993650062e-07	5.87556356440129e-09	1.06230189244375e-06	chr2	-	191894301	192016322	122021	192016322	chr2	191884904	191885303	191885071	180	1	77	1	1.20046104919243e-23	39	131251
FAM127A	2.67539936326302	0.064724079251242	-2.61067528401177	8	124	3	2	0.375	0.0161290322580645	2.69284579071309e-05	0.00140887427857071	1.94299614787133e-07	6.30126003069955e-09	1.08806476575046e-06	chrX	+	134166332	134167575	1243	134166332	chrX	133756174	133756525	133756364	62	1	39	1	2.68027854365507e-12	20	-409968
IL1B	5.08532493102563	0.501282726978774	-4.58404220404685	8	124	5	9	0.625	0.0725806451612903	1.51933191758634e-05	0.000301671859631074	9.2388832886719e-07	6.41059113541848e-09	1.0946440507679e-06	chr2	-	113587336	113594356	7020	113594356	chr2	113589672	113590025	113589808	93	1	51	1	7.36534896409858e-16	26	4548
DSTN	3.4109584818428	0.237003628292559	-3.17395485355024	8	124	4	5	0.5	0.0403225806451613	1.90413905227791e-05	0.0006422622787345	4.88038715110499e-07	7.17277084875184e-09	1.20750087589761e-06	chr20	+	17550598	17588652	38054	17550598	chr20	17776445	17776869	17776684	78	0	42	0	0	43	226086
WBP5	2.97056349484762	0.0573298093553951	-2.91323368549222	8	124	3	2	0.375	0.0161290322580645	2.69284579071309e-05	0.00140887427857071	2.26845048094576e-07	7.30723460817791e-09	1.20750087589761e-06	chrX	+	102611379	102613397	2018	102611379	chrX	103401383	103401831	103401598	60	2	34	2	1.27652205410011e-09	11.6666666666667	790219
FAM127B	2.64404829694106	0.0697433824649033	-2.57430491447616	8	124	3	2	0.375	0.0161290322580645	2.69284579071309e-05	0.00140887427857071	2.64628562310071e-07	8.46689619907901e-09	1.3842474551856e-06	chrX	-	134184962	134186221	1259	134186221	chrX	133756174	133756525	133756364	62	1	39	1	2.68027854365507e-12	20	429857
KCNK17	2.57881386670273	0.0923254158310166	-2.48648845087171	8	124	3	2	0.375	0.0161290322580645	2.69284579071309e-05	0.00140887427857071	3.08456755606681e-07	9.80259585771183e-09	1.56923222022204e-06	chr6	-	39266776	39282237	15461	39282237	chr6	40511542	40511853	40511692	104	1	57	1	1.18986869751493e-17	29	-1229455
FAS	2.49198067518453	0.10663145679398	-2.38534921839055	8	124	3	2	0.375	0.0161290322580645	2.69284579071309e-05	0.00140887427857071	3.59254416737504e-07	1.13397579307367e-08	1.7782591824445e-06	chr10	+	90750287	90775542	25255	90750287	chr10	90746131	90747363	90746424	290	11	133	8	2.39013242355238e-31	14.8888888888889	-3863
MLLT3	7.51468072621345	1.77459017054264	-5.74009055567081	8	124	8	48	1	0.387096774193548	0.00244062780538268	0.000771413814263807	8.92044564382002e-07	1.52057544668502e-08	2.36042459238943e-06	chr9	-	20341662	20622542	280880	20622542	chr9	20698899	20699137	20699040	32	2	22	2	2.42029515028348e-06	7.66666666666667	-76498
ERO1L	2.85460333805883	0.196540023519626	-2.6580633145392	8	124	4	6	0.5	0.0483870967741935	6.6222700191293e-05	0.00104293468850403	1.49338298559655e-06	3.31439050056214e-08	5.0935553212639e-06	chr14	-	53108604	53162419	53815	53162419	chr14	53173623	53174072	53173775	100	3	41	3	1.38261140033288e-10	10.5	-11356
RAB8B	2.60786629837162	0.346430665458717	-2.2614356329129	8	124	5	11	0.625	0.0887096774193548	7.95551217197473e-05	0.0006309634955718	4.73912012797087e-06	6.16818546623199e-08	9.38541329158942e-06	chr15	+	63481727	63559973	78246	63481727	chr15	63484016	63484484	63484386	92	6	43	5	1.58675401007147e-09	7.33333333333333	2659
BLNK	0.0360946542947079	5.9440142882971	5.90791963400239	8	124	1	105	0.125	0.846774193548387	6.28612759308134e-06	3.87142602204018e-05	8.66758212081016e-05	6.88320094981783e-08	1.03706894310589e-05	chr10	-	97951454	98031333	79879	98031333	chr10	97889597	97890257	97889748	111	5	55	4	1.66500054868344e-13	11.2	141585
MAN1A1	0	4.51402388055311	4.51402388055311	8	124	0	96	0	0.774193548387097	1.32500190466273e-05	1.64331866715598e-05	0.000219835894455665	7.38374299343223e-08	1.10168312935016e-05	chr6	-	119498365	119670931	172566	119670931	chr6	119763961	119764249	119764100	36	3	22	2	2.42029515028348e-06	7.66666666666667	-93169
CD99	3.39303894968215	8.22785801545318	4.83481906577103	8	124	4	123	0.5	0.991935483870968	1.00375850950538e-09	2.82426609428208e-05	0.000138907111418317	7.9860253667587e-08	1.1800888253495e-05	chrX	+	2609227	2659350	50123	2609227	chrX	2614734	2615149	2614883	90	2	54	2	2.50962959494914e-15	18.3333333333333	5656
GOLGA8A	5.84156097995765	1.40188330822908	-4.43967767172857	8	124	8	48	1	0.387096774193548	0.00244062780538268	0.000771413814263807	8.68436243202376e-06	1.32787402881566e-07	1.94350172141324e-05	chr15	-	34671269	34729667	58398	34729667	chr15	34635165	34635562	34635391	131	0	60	0	0	61	94276
ACTA2	3.18904433173849	0.138537830236538	-3.05050650150195	8	124	3	3	0.375	0.0241935483870968	0.000183090879387615	0.00273515032070144	2.91063450062711e-06	1.56423816825853e-07	2.2466553429717e-05	chr10	-	90694830	90751147	56317	90751147	chr10	90746131	90747363	90746424	290	11	133	8	2.39013242355238e-31	14.8888888888889	4723
BNIP3L	4.2330821525593	0.756484121251541	-3.47659803130775	8	124	6	18	0.75	0.145161290322581	0.00013019607413659	0.00044303416431875	2.30710878019955e-05	1.98280507212331e-07	2.81247865594008e-05	chr8	+	26240522	26270644	30122	26240522	chr8	26248620	26248932	26248731	31	3	20	3	4.03574153678476e-05	5.25	8209
LOC101928834	2.59330049151575	0.0922834658617533	-2.50101702565399	8	124	3	3	0.375	0.0241935483870968	0.000183090879387615	0.00273515032070144	3.7608393864153e-06	1.99479550688098e-07	2.81247865594008e-05	chr10	-	19999263	20017479	18216	20017479	chr10	20019096	20019310	20019202	51	4	26	4	5.74888223089608e-06	5.4	-1723
MMRN1	4.99721293454566	0.788316722384333	-4.20889621216133	8	124	6	21	0.75	0.169354838709677	0.000475814155729187	0.000929544123423413	1.12749054437599e-05	2.03046987115151e-07	2.83675099816876e-05	chr4	+	90816051	90875780	59729	90816051	chr4	90815794	90816092	90815990	48	3	25	3	2.34215388416291e-06	6.5	-61
PHGDH	2.28106650528196	0.124285600402859	-2.1567809048791	8	124	3	3	0.375	0.0241935483870968	0.000183090879387615	0.00273515032070144	4.27066337089172e-06	2.2503628387535e-07	3.06528075584684e-05	chr1	+	120254418	120286849	32431	120254418	chr1	120174187	120174474	120174325	42	1	21	1	4.64446228464871e-07	11	-80093
TFPI	5.60082080227122	1.20665532300922	-4.394165479262	8	124	7	31	0.875	0.25	0.000721407360331617	0.000670792077877154	1.74423333718155e-05	2.25388290871091e-07	3.06528075584684e-05	chr2	-	188328957	188419219	90262	188419219	chr2	188419131	188419442	188419277	67	6	34	6	9.81896346172902e-07	5	-58
EREG	5.13274304102344	0.314701149346443	-4.818041891677	8	124	7	39	0.875	0.314516129032258	0.00448545067099258	0.00264147490224908	4.77004331677215e-06	2.41787654825079e-07	3.25946726258931e-05	chr4	+	75230859	75254477	23618	75230859	chr4	75195990	75196438	75196296	60	3	27	2	1.10412830386588e-07	9.33333333333333	-34563
VBP1	7.19016154039867	1.93507052457197	-5.2550910158267	8	124	8	39	1	0.314516129032258	0.000394747370973114	0.000170769354065622	9.44994415391561e-05	3.05680411159535e-07	3.98109877855909e-05	chrX	+	154444700	154468098	23398	154444700	chrX	154255072	154255381	154255265	47	1	23	1	1.24095477630434e-07	12	-189435
HEMGN	5.55823660490328	0.730699992750811	-4.82753661215247	8	124	6	22	0.75	0.17741935483871	0.000690226722571605	0.00116435786355103	1.58758548283496e-05	3.4763771214e-07	4.4520803001396e-05	chr9	-	100689072	100707197	18125	100707197	chr9	100700517	100700892	100700642	119	2	50	2	3.59348613727306e-14	17	6555
PPME1	2.84454896157425	0.334236440511728	-2.51031252106252	8	124	4	7	0.5	0.0564516129032258	0.000184385597073555	0.0015965569877172	1.14825596842526e-05	3.44919563356177e-07	4.4520803001396e-05	chr11	+	73882107	73965748	83641	73882107	chr11	73881865	73882342	73882189	66	1	33	1	1.55268042731139e-10	17	82
SYPL1	7.87605068643255	2.14910449797884	-5.7269461884537	8	124	8	49	1	0.395161290322581	0.00288971873533353	0.000897358926796675	2.15811508543469e-05	3.63301939625584e-07	4.6142348827818e-05	chr7	-	105730813	105753093	22280	105753093	chr7	105712020	105712851	105712165	156	7	82	7	3.03091994538017e-18	10.375	40928
GCHFR	3.11240417111775	0.165354299867504	-2.94704987125025	8	124	4	8	0.5	0.0645161290322581	0.0004343462491684	0.00233262299917108	1.48056843017713e-05	6.27909488657356e-07	7.78202663039213e-05	chr15	+	41056284	41059911	3627	41056284	chr15	41061580	41062114	41061971	72	3	38	3	9.02744296236468e-10	9.75	5687
FAM175A	3.05498762474267	0.539069549839205	-2.51591807490347	8	124	5	13	0.625	0.104838709677419	0.000290392861336159	0.00118579259405046	3.46262016370105e-05	7.39409366993945e-07	9.09059452157036e-05	chr4	-	84382093	84406290	24197	84406290	chr4	84376930	84377348	84377126	125	4	58	3	2.52007748455498e-15	14.75	29164
ADAM28	3.12324859732891	0.310911437906699	-2.81233715942221	8	124	4	8	0.5	0.0645161290322581	0.0004343462491684	0.00233262299917108	1.91835147907658e-05	8.01981899529403e-07	9.78163319997449e-05	chr8	+	24151579	24212726	61147	24151579	chr8	24151284	24151590	24151432	45	3	26	3	1.30915979265636e-06	6.75	-147
GAPT	3.74860265960243	0.36473372427434	-3.38386893532809	8	124	4	8	0.5	0.0645161290322581	0.0004343462491684	0.00233262299917108	3.19022287736163e-05	1.29584798372073e-06	0.000146816720815519	chr5	+	57787329	57792185	4856	57787329	chr5	57786950	57787488	57787200	170	6	68	6	2.60975132535901e-15	9.85714285714286	-129
HIST3H2A	2.23336714794891	0.00583578131490312	-2.227531366634	8	124	2	1	0.25	0.00806451612903226	0.00125336271661386	0.00941653766081246	8.52685008280115e-06	1.39209319898802e-06	0.000146816720815519	chr1	-	228645064	228645560	496	228645560	chr1	228761626	228761941	228761778	25	3	21	2	4.4449535360059e-06	7.33333333333333	-116218
PTPN22	4.00948317550507	0.501318025044792	-3.50816515046027	8	124	5	15	0.625	0.120967741935484	0.00082280907457075	0.00205462055195278	3.91599874106918e-05	1.39479706136555e-06	0.000146816720815519	chr1	-	114356432	114414375	57943	114414375	chr1	114447401	114447770	114447547	40	2	21	2	4.4449535360059e-06	7.33333333333333	-33172
LAT2	1.22516369443014	7.37037622215753	6.14521252772739	8	124	3	113	0.375	0.911290322580645	7.95551217197473e-05	0.0006309634955718	0.00013444878395798	1.46612140280859e-06	0.000152238876475422	chr7	+	73624086	73644164	20078	73624086	chr7	73631965	73632318	73632175	73	1	37	1	1.04188722521637e-11	19	8089
ARHGAP22	2.20733489546007	0.118167093828993	-2.08916780163107	8	124	3	4	0.375	0.032258064516129	0.000727716827169498	0.00464561938138975	2.03663854384258e-05	1.62485746154579e-06	0.00016014506356948	chr10	-	49654067	49864310	210243	49864310	chr10	49864355	49864621	49864477	35	2	20	2	8.12416913741061e-06	7	-167
MAGEH1	3.1090850334445	0.211640684023372	-2.89744434942113	8	124	3	4	0.375	0.032258064516129	0.000727716827169498	0.00464561938138975	2.03663854384258e-05	1.62485746154579e-06	0.00016014506356948	chrX	+	55478521	55480001	1480	55478521	chrX	54665807	54666163	54665957	35	5	21	4	8.27505018319301e-05	4.4	-812564
IQGAP2	6.76144038881826	2.0422253625515	-4.71921502626676	8	124	8	51	1	0.411290322580645	0.00398671834728757	0.00120422048921499	8.17652605349273e-05	1.68703066563045e-06	0.000164090425755751	chr5	+	75699079	76003957	304878	75699079	chr5	75698274	75699120	75698826	254	8	114	8	4.35583962595042e-26	12.7777777777778	-253
ATL1	2.83449977981866	0.194344028049147	-2.64015575176951	8	124	3	4	0.375	0.032258064516129	0.000727716827169498	0.00464561938138975	2.82464994387806e-05	2.21062274795024e-06	0.000203430241859277	chr14	+	50999799	51099784	99985	50999799	chr14	51144206	51144502	51144333	40	3	21	2	4.4449535360059e-06	7.33333333333333	144534
SERINC3	5.93939160020221	1.5395771661765	-4.39981443402571	8	124	7	34	0.875	0.274193548387097	0.00155002716984183	0.00116291173764989	0.00011547034750346	2.25906675333956e-06	0.00020542803470605	chr20	-	43124863	43150726	25863	43150726	chr20	43150631	43150828	43150687	57	2	24	2	7.16262590329548e-07	8.33333333333333	39
RAPGEF2	2.4854000830218	0.238411428892084	-2.24698865412971	8	124	4	9	0.5	0.0725806451612903	0.000899412695045299	0.00328133030282274	4.39456602764294e-05	2.4156512887281e-06	0.000218374876501021	chr4	+	160188997	160281301	92304	160188997	chr4	160127530	160127865	160127785	45	4	21	3	2.2861893467867e-05	5.5	-61212
PNMA1	2.84027045036716	0.244827485911461	-2.5954429644557	8	124	3	4	0.375	0.032258064516129	0.000727716827169498	0.00464561938138975	3.14639799421493e-05	2.44666077409512e-06	0.000219884694598209	chr14	-	74178485	74181128	2643	74181128	chr14	74208120	74208598	74208445	120	1	64	1	9.54273491086427e-20	32.5	-27317
PPIE	4.99881244347026	1.21083052304478	-3.78798192042547	8	124	7	34	0.875	0.274193548387097	0.00155002716984183	0.00116291173764989	0.000146224322643604	2.82058618116291e-06	0.000252016095535533	chr1	+	40204516	40229586	25070	40204516	chr1	40223345	40223520	40223385	37	5	21	5	0.000236699777108603	3.66666666666667	18869
AAGAB	4.17464258576969	0.548384900614835	-3.62625768515486	8	124	5	16	0.625	0.129032258064516	0.00128809439875964	0.00263824392750043	6.98311024208157e-05	3.0411224869553e-06	0.000270150117800746	chr15	-	67493012	67547536	54524	67547536	chr15	67546819	67547195	67547053	82	1	33	1	1.55268042731139e-10	17	483
CRHBP	4.27298090650036	0.507311281240252	-3.76566962526011	8	124	5	16	0.625	0.129032258064516	0.00128809439875964	0.00263824392750043	7.43613720039717e-05	3.22608277466923e-06	0.000284933563684578	chr5	+	76248679	76265299	16620	76248679	chr5	76243142	76243377	76243261	42	4	21	3	2.2861893467867e-05	5.5	-5418
SLC43A3	3.30893928887953	0.410170655864027	-2.8987686330155	8	124	4	9	0.5	0.0725806451612903	0.000899412695045299	0.00328133030282274	7.60326687790981e-05	4.04267194321672e-06	0.00035100442047093	chr11	-	57174426	57195053	20627	57195053	chr11	57192143	57192987	57192470	251	4	125	3	8.73792874966656e-35	31.5	2583
FGD3	4.17361537002172	0.717112413201717	-3.45650295682	8	124	5	16	0.625	0.129032258064516	0.00128809439875964	0.00263824392750043	9.54142842037768e-05	4.07668596942336e-06	0.000351969157180327	chr9	+	95709600	95798518	88918	95709600	chr9	95826684	95827092	95826826	78	1	41	1	6.86828359613149e-13	21	117226
