gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust	isInqPCR	qPCR.neg	qPCR.pos	delta_delta_ct	qPCR.nCellA	qPCR.nCellB	qPCR.expCellA	qPCR.expCellB	qPCR.expFractionCellA	qPCR.expFractionCellB	qPCR.fisher.test.p	qPCR.wilcox	qPCR.fisher_combined_pvalue
PTRF	0.500530600730503	2.60992318691058	2.10939258618008	23	17	3	9	0.130434782608696	0.529411764705882	0.0176408321961382	0.0129950775082793	0.00458443461870652	0.000639137764830615	0.15055331563641	TRUE	-9.13430080285476	-6.62237622487063	2.51192457798413	88	92	56	74	0.636363636363636	0.804347826086957	0.0131014685903797	0.00503830588175147	0.000701395101326692
PDK3	0.959190328274177	0.0174264101843159	-0.941763918089861	23	17	12	2	0.521739130434783	0.117647058823529	0.0206950162329854	0.0172319148959861	0.0044759800473513	0.000807549735141045	0.166422907095342	TRUE	-11.5617251182274	-11.3474966862326	0.214228431994831	88	92	46	50	0.522727272727273	0.543478260869565	0.881285582311516	0.82203592967382	0.957970536254598
IGF1R	1.24518363758886	0	-1.24518363758886	23	17	8	0	0.347826086956522	0	0.0204011532866174	0.0125080546133178	0.00821353347460864	0.00104619024043438	0.18500049975006	TRUE	-9.35235515620265	-10.9182759505677	-1.56592079436506	88	92	55	48	0.625	0.521739130434783	0.177348627790176	0.0425248082946011	0.0444003883082125
ARL11	1.59377235239489	0.100706922520841	-1.49306542987405	23	17	12	2	0.521739130434783	0.117647058823529	0.0206950162329854	0.0172319148959861	0.00602984682779093	0.00105693254999026	0.18500049975006	TRUE	-11.4051772578932	-11.2926399496881	0.112537308205102	88	92	53	54	0.602272727272727	0.58695652173913	0.879914884417963	0.89044670853399	0.974665857980055
EMP3	3.37717324230236	0.8267711192626	-2.55040212303976	23	17	13	3	0.565217391304348	0.176470588235294	0.0311996460599935	0.0218498364883237	0.005966082929537	0.00129643920879038	0.211960687344871	TRUE	-7.49372260229756	-8.58409714835294	-1.09037454605538	88	92	69	68	0.784090909090909	0.739130434782609	0.490750049495869	0.0177925951851037	0.0501269818646549
MZB1	4.47210563486746	0.818014165656092	-3.65409146921137	23	17	14	4	0.608695652173913	0.235294117647059	0.0428484349534028	0.0266750844281434	0.00669777301766284	0.00172053203723379	0.230528084274453	TRUE	-11.6267097914877	-14.0631944116315	-2.43648462014382	88	92	39	24	0.443181818181818	0.260869565217391	0.0124840680283584	0.00454728980312533	0.000611769097772445
SOD2	3.53013422451596	7.42568737015835	3.8955531456424	23	17	20	16	0.869565217391304	0.941176470588235	0.831146784266526	0.623503665608929	0.000286896150796474	0.00172240583287797	0.230528084274453	TRUE	-3.14657943234248	-2.02951952946369	1.11705990287879	88	92	86	92	0.977272727272727	1	0.237616387337058	0.000515422541257212	0.00122566181806264
RGS2	5.27536952086693	1.25010774069529	-4.02526178017164	23	17	14	4	0.608695652173913	0.235294117647059	0.0428484349534028	0.0266750844281434	0.0073282501523035	0.00186490390556775	0.230528084274453	TRUE	-7.49991063748297	-10.7621808416547	-3.26227020417173	88	92	61	47	0.693181818181818	0.510869565217391	0.0150408849185619	0.000129475330108453	2.75541021333978e-05
MYCT1	0.848563898489543	2.82226676521347	1.97370286672392	23	17	5	10	0.217391304347826	0.588235294117647	0.0389608303576899	0.0235062648855753	0.0141185004716746	0.00299042905084404	0.303205474697644	TRUE	-17.2912172159926	-17.2956535614655	-0.00443634547291438	88	92	0	0	0	0	1	NA	NA
AIFM2	0.534037904165176	0.00196980522238082	-0.532068098942795	23	17	9	1	0.391304347826087	0.0588235294117647	0.0422247580959433	0.0256769110758924	0.0130501306677703	0.00301615877505386	0.303205474697644	TRUE	-17.2912172159926	-17.2291811506949	0.0620360652976366	88	92	0	1	0	0.0108695652173913	1	0.333591307789099	0.699820743662816
H2AFY	5.92294806134936	8.47598623368165	2.55303817233229	23	17	20	17	0.869565217391304	1	0.346646899992452	0.248076923076923	0.00150191429971993	0.00331420214639491	0.308025990796404	TRUE	-3.94960499268444	-2.63642255254747	1.31318244013697	88	92	85	92	0.965909090909091	1	0.114803423095432	1.87227694067151e-05	3.02002578727748e-05
EPT1	0.318338875501269	2.11067737164006	1.79233849613879	23	17	3	8	0.130434782608696	0.470588235294118	0.0430113019276527	0.0304802647756808	0.0122967971981797	0.00333171743677977	0.308025990796404	TRUE	-15.3942830102448	-13.7659972031926	1.62828580705214	88	92	13	26	0.147727272727273	0.282608695652174	0.0310673429029086	0.0341355924660391	0.00832389494716666
SAT1	5.76961489402637	2.72082208638845	-3.04879280763792	23	17	18	7	0.782608695652174	0.411764705882353	0.0389608303576899	0.0235062648855753	0.0168864602141911	0.00350564634599597	0.308025990796404	TRUE	-9.68995724713228	-10.5953443629806	-0.905387115848274	88	92	54	52	0.613636363636364	0.565217391304348	0.546528449692775	0.143196236900863	0.277646544890764
CSF3R	2.35576029272377	4.71036312644542	2.35460283372165	23	17	10	14	0.434782608695652	0.823529411764706	0.0311996460599935	0.0218498364883237	0.0182219540256539	0.00351511392475578	0.308025990796404	TRUE	-11.8911232887706	-11.1505419078461	0.740581380924505	88	92	31	37	0.352272727272727	0.402173913043478	0.539922451860892	0.490360637174454	0.616603548010704
RXFP1	0.761444040351524	3.13265669076896	2.37121265041744	23	17	4	9	0.173913043478261	0.529411764705882	0.0421956758230107	0.0383102095421339	0.0149899026631996	0.00485968118014634	0.344650450713786	TRUE	-10.0846809284935	-4.59379363952265	5.49088728897086	88	92	48	86	0.545454545454545	0.934782608695652	1.32599084217144e-09	1.69719605063061e-08	8.85171660770739e-16
NUDCD2	3.43246909690264	6.18023887210916	2.74776977520652	23	17	11	15	0.478260869565217	0.882352941176471	0.0206950162329854	0.0172319148959861	0.033571479505284	0.0048912657023732	0.344650450713786	TRUE	-9.23262995482107	-9.11704680408785	0.115583150733226	88	92	56	58	0.636363636363636	0.630434782608696	1	0.905383984196834	0.995375651412493
IFNAR1	1.8208733890434	0.589985382407676	-1.23088800663572	23	17	14	4	0.608695652173913	0.235294117647059	0.0428484349534028	0.0266750844281434	0.0219028150599565	0.00493416763019468	0.344650450713786	TRUE	-10.3892577564814	-9.1482641342571	1.24099362222432	88	92	56	68	0.636363636363636	0.739130434782609	0.149876873189556	0.244529375015056	0.157825108198264
LIMS1	3.16707930248229	5.66197193043619	2.4948926279539	23	17	23	17	1	1	NA	1	0.00066673636839318	0.00554265666517061	0.360929634218904	TRUE	-4.31248217704871	-3.54973256947281	0.762749607575899	88	92	84	91	0.954545454545455	0.989130434782609	0.203437056297751	0.0511484005691664	0.0579108946876778
MMRN1	2.68271478164089	5.02471637724375	2.34200159560286	23	17	11	14	0.478260869565217	0.823529411764706	0.0575076574249313	0.0463628255619358	0.0196505179728236	0.00728925634796413	0.399491647970693	TRUE	-5.11911725877832	-4.87843268190481	0.240684576873504	88	92	81	86	0.920454545454545	0.934782608695652	0.778730406624239	0.677082467030534	0.864741834430504
CSRP1	2.30291769869523	5.28545148676274	2.98253378806751	23	17	10	13	0.434782608695652	0.764705882352941	0.0778817147399415	0.0544262616342705	0.0167766594380787	0.00730351715607128	0.399491647970693	TRUE	-7.96486793632792	-7.48109235724152	0.483775579086403	88	92	68	74	0.772727272727273	0.804347826086957	0.715272950107307	0.518615174760739	0.738818056576781
IFITM2	6.83627445375311	9.55125062050204	2.71497616674894	23	17	23	17	1	1	NA	1	0.00104729963578977	0.00823338819129238	0.422401205207062	TRUE	-1.05169905132646	-0.212348632999854	0.839350418326605	88	92	88	92	1	1	1	0.000537848543825421	0.00458673664412184
SERPINB1	6.10161653727696	8.26134605368629	2.15972951640933	23	17	23	17	1	1	NA	1	0.00130270277392811	0.00995696650077992	0.469215040060213	TRUE	-3.25936338771396	-2.34321885727505	0.916144530438916	88	92	85	91	0.965909090909091	0.989130434782609	0.359879593742364	0.00672844637458757	0.0170066675076185
CD99	4.54918644259587	2.85485875562977	-1.6943276869661	23	17	20	10	0.869565217391304	0.588235294117647	0.0965185450802578	0.0663092242039611	0.0213116107021779	0.0106861888796652	0.487155399100453	TRUE	-3.23202585586339	-3.93454054342689	-0.702514687563502	88	92	86	89	0.977272727272727	0.967391304347826	1	0.00543390106100823	0.0337722274835574
POU2F1	1.12132320917336	0.333052077956085	-0.788271131217272	23	17	10	2	0.434782608695652	0.117647058823529	0.0695697177377574	0.0408449175939369	0.0349205732485493	0.010772558563251	0.487155399100453	TRUE	-11.956289729098	-12.9003868369551	-0.944097107857132	88	92	47	40	0.534090909090909	0.434782608695652	0.232601857159141	0.249672306790443	0.223355454915743
PSMC4	4.06459550716227	6.90896609694427	2.844370589782	23	17	19	17	0.826086956521739	1	0.20076114663012	0.122934675566255	0.0117933558236698	0.0109262516131089	0.491242574315416	TRUE	-11.3277557553331	-10.0949822220321	1.23277353330101	88	92	44	54	0.5	0.58695652173913	0.294837799866775	0.0742868379681999	0.105595595617065
AHI1	1.8489066805102	0.592983225647185	-1.25592345486302	23	17	12	3	0.521739130434783	0.176470588235294	0.0575076574249313	0.0463628255619357	0.0323880148261894	0.0112638372983555	0.499171050590363	TRUE	-17.2912172159926	-17.0647673779882	0.226449838004356	88	92	0	2	0	0.0217391304347826	0.497454996896338	0.167862181651124	0.290832508243018
SERINC3	2.32410202524892	5.17283863760647	2.84873661235755	23	17	11	13	0.478260869565217	0.764705882352941	0.133191890605935	0.104284039322972	0.0219989546077429	0.0162365391614115	0.508891855215798	TRUE	-2.70730308524021	-2.49885578943772	0.208447295802491	88	92	86	92	0.977272727272727	1	0.237616387337058	0.639870726385548	0.438431414823687
BCL2	0.784528361004764	0	-0.784528361004764	23	17	5	0	0.217391304347826	0	0.116048444665096	0.0605418171207645	0.0455316580988078	0.0190031503817651	0.508891855215798	TRUE	-15.5902661317377	-15.303935186394	0.286330945343689	88	92	15	17	0.170454545454545	0.184782608695652	0.847164548383001	0.753934366796347	0.925045150657056
PIM1	0.804820841458418	2.86216374663818	2.05734290517976	23	17	4	8	0.173913043478261	0.470588235294118	0.0939127420491244	0.0793755593533124	0.0349205732485493	0.0190931102288802	0.508891855215798	TRUE	-15.4139321158533	-15.2780651562398	0.135866959613443	88	92	16	19	0.181818181818182	0.206521739130435	0.709810498406062	0.779783608526007	0.880890834169228
SELP	0	0.898764105002659	0.898764105002659	23	17	0	3	0	0.176470588235294	0.13686541798814	0.0688259109311741	0.0416926334289283	0.019666651308916	0.508891855215798	TRUE	-15.984017162249	-15.2768838968586	0.707133265390413	88	92	9	15	0.102272727272727	0.16304347826087	0.276036380637088	0.248993381821654	0.252762649854294
CD164	7.22018203246247	9.58861968202338	2.36843764956091	23	17	21	17	0.91304347826087	1	0.607500384059699	0.498717948717949	0.00621736517878842	0.0210108052389641	0.526260539301865	TRUE	-1.55414039157474	-1.53858373549519	0.015556656079553	88	92	88	92	1	1	1	0.88961618507016	0.993670286276769
STK17B	5.10463404759534	2.73134203020437	-2.37329201739098	23	17	21	13	0.91304347826087	0.764705882352941	0.394790502377306	0.372506109348215	0.00851722338337694	0.0214258919051582	0.533960502118834	TRUE	-4.16561962047764	-4.65569488810256	-0.490075267624918	88	92	84	89	0.954545454545455	0.967391304347826	0.715939147176719	0.000504355742276552	0.0032232120599319
MLLT3	2.43005496698351	4.18639111716013	1.75633615017662	23	17	12	14	0.521739130434783	0.823529411764706	0.100399029000192	0.0920983553074766	0.0347551297701915	0.021587848543353	0.535306684380011	TRUE	-5.6391626707147	-3.65584601234119	1.98331665837351	88	92	76	90	0.863636363636364	0.978260869565217	0.00463253048276852	0.000559500683267408	3.593187014168e-05
HIF1A	4.01622494951492	6.34564000823255	2.32941505871763	23	17	15	16	0.652173913043478	0.941176470588235	0.0749402264451138	0.0535999562315352	0.0613428488916979	0.022086911871643	0.539587971800171	TRUE	-4.04914112483479	-4.69468565750219	-0.645544532667403	88	92	88	91	1	0.989130434782609	1	0.00768455089226868	0.0450971199844729
PFDN1	3.07420866794949	5.3873368197325	2.313128151783	23	17	13	13	0.565217391304348	0.764705882352941	0.330880576892987	0.315173905830191	0.0109395119491531	0.0229971674554732	0.553203661951369	TRUE	-7.63611014866217	-6.16720665065452	1.46890349800765	88	92	70	84	0.795454545454545	0.91304347826087	0.0331924232817532	0.121369010161109	0.026243278041786
TRIM22	2.10650077734455	4.81464927849774	2.7081485011532	23	17	10	12	0.434782608695652	0.705882352941177	0.166889211582776	0.115875296876409	0.0325354485272279	0.0248094702277273	0.570047704821818	TRUE	-2.84226527995203	-3.04214218330799	-0.19987690335596	88	92	84	89	0.954545454545455	0.967391304347826	0.715939147176719	0.0602819855937462	0.178799471224375
MEIS1	3.71255414206017	5.82558697220216	2.11303283014199	23	17	13	14	0.565217391304348	0.823529411764706	0.166712813702768	0.102961624026696	0.070367267908711	0.0429449612392055	0.766302668477155	TRUE	-14.8849415397282	-13.8070232701504	1.07791826957779	88	92	17	27	0.193181818181818	0.293478260869565	0.123209734029113	0.205000926976974	0.11817279402956
GAS5	8.48204230879898	10.1125812769438	1.63053896814477	23	17	23	17	1	1	NA	1	0.0148312699805587	0.0772860072763231	0.854884006905915	TRUE	0.211716649133193	0.712294667064084	0.50057801793089	88	92	88	92	1	1	1	0.0142459636372788	0.0748095676617427
TMEM17	2.96620173358704	1.72786872496382	-1.23833300862322	23	17	22	17	0.956521739130435	1	1	1	0.0160669091630394	0.0824392057346968	0.854884006905915	TRUE	-16.1393857264346	-16.1094107672473	0.029974959187296	88	92	9	10	0.102272727272727	0.108695652173913	1	0.886927075693191	0.993351685775493
CD34	5.81029482443972	7.33372282651837	1.52342800207865	23	17	17	17	0.739130434782609	1	0.0663153301561082	0.0295236532078637	0.546573511155976	0.0827279656431599	0.854884006905915	TRUE	-2.21935254542709	-2.57353536514021	-0.354182819713115	88	92	87	91	0.988636363636364	0.989130434782609	1	0.093556932855943	0.315210626092835
ERG	1.82625249305321	3.5287429510786	1.70249045802539	23	17	10	11	0.434782608695652	0.647058823529412	0.313080984697057	0.216428263636272	0.082371727836947	0.0896193575119536	0.854884006905915	TRUE	-4.57750481509701	-3.58556035928075	0.991944455816268	88	92	81	91	0.920454545454545	0.989130434782609	0.0317622358462715	0.352331984191748	0.0614675278090559
HSP90AB1	10.327883742468	10.8681025322553	0.540218789787257	23	17	23	17	1	1	NA	1	0.0203155689994868	0.0994724966911683	0.891349473124957	TRUE	-1.04528916616493	-0.82169219328994	0.223596972874994	88	92	88	92	1	1	1	0.394580492784388	0.761513567752104
ARF4	3.31317449061331	5.443416601378	2.13024211076469	23	17	14	13	0.608695652173913	0.764705882352941	0.483953600706308	0.332569221056429	0.074798136550401	0.11676262461781	0.972128891473854	TRUE	-10.0996933962815	-8.21596849134358	1.88372490493792	88	92	56	72	0.636363636363636	0.782608695652174	0.033655813539567	0.0290568049132655	0.00775505859479709
CD244	0.237632987139514	2.44382442360677	2.20619143646726	23	17	4	6	0.173913043478261	0.352941176470588	0.355841851627646	0.27426061297029	0.0943429265536002	0.120432970295669	0.985819794058804	TRUE	-9.89411816675408	-9.50632970489507	0.387788461859015	88	92	53	58	0.602272727272727	0.630434782608696	0.759793446630105	0.670349614966482	0.852952281926477
PRDX1	7.5178905383534	9.57405179325511	2.05616125490172	23	17	21	17	0.91304347826087	1	0.607500384059699	0.498717948717949	0.0753283748077027	0.160849977122803	1	TRUE	-1.21898587674831	-1.47645862109378	-0.257472744345465	88	92	87	92	0.988636363636364	1	0.488888888888889	0.117172711816151	0.221102247619405
ADAT1	2.47529142166155	1.1591772020212	-1.31611421964035	23	17	20	15	0.869565217391304	0.882352941176471	1	1	0.042712036511382	0.177394812639227	1	TRUE	-15.7288321084739	-14.6018848150497	1.12694729342421	88	92	12	22	0.136363636363636	0.239130434782609	0.088788039168825	0.0900783195242361	0.0466162608554475
B2M	12.4509161515624	12.3643580826759	-0.0865580688865411	23	17	23	17	1	1	NA	1	0.0480305212554495	0.193847274614507	1	TRUE	0.383436873281345	0.119189522632498	-0.264247350648847	88	92	88	92	1	1	1	0.0862430668000327	0.297589085368443
CDK4	5.489098497125	4.14683116906366	-1.34226732806134	23	17	17	9	0.739130434782609	0.529411764705882	0.298618852906632	0.197843561024874	0.356123880624797	0.257361509652997	1	TRUE	-10.7498440263015	-10.3172731980998	0.432570828201662	88	92	49	55	0.556818181818182	0.597826086956522	0.651156222258419	0.569776317543374	0.738879524356941
CD44	3.49532744635131	4.6907682370805	1.19544079072919	23	17	15	13	0.652173913043478	0.764705882352941	0.675378834564654	0.504846225535881	0.212016613829976	0.346217105435299	1	TRUE	-4.4902171311319	-4.51111609573493	-0.0208989646030355	88	92	86	91	0.977272727272727	0.989130434782609	0.614621388069382	0.802282172295306	0.841742890323009
CDKN1B	0	0.207671215471903	0.207671215471902	23	17	0	1	0	0.0588235294117647	0.877886267654739	0.425	0.265885492912127	0.359384432676064	1	TRUE	-5.42525316335642	-5.63681186847755	-0.211558705121135	88	92	82	86	0.931818181818182	0.934782608695652	1	0.394510923899241	0.761448867277871
ASXL2	0.378283599976616	0	-0.378283599976616	23	17	2	0	0.0869565217391304	0	0.607500384059699	0.498717948717949	0.23204365215064	0.365288992770694	1	TRUE	-9.46842566620505	-8.47984359112254	0.988582075082503	88	92	53	63	0.602272727272727	0.684782608695652	0.277475877179318	0.309588783515595	0.296756080330907
PPP2CA	1.84826185058228	1.0794280611282	-0.768833789454076	23	17	7	3	0.304347826086957	0.176470588235294	0.579585411086885	0.470927503185568	0.407972925098963	0.50905725080273	1	TRUE	-5.85816193586909	-5.85770191112075	0.000460024748334398	88	92	82	87	0.931818181818182	0.945652173913043	0.763045002554732	0.962335876882647	0.961081184142842
VWF	0.0289868001359985	0.693619331874204	0.664632531738205	23	17	1	2	0.0434782608695652	0.117647058823529	0.78467919859844	0.564676113360324	0.368924883416521	0.535112215636747	1	TRUE	-16.4148891409556	-15.1238954076625	1.29099373329313	88	92	6	16	0.0681818181818182	0.173913043478261	0.0398211779060599	0.0375397046505824	0.0112201039287658
SELL	5.99006395168426	7.60313140658591	1.61306745490165	23	17	20	15	0.869565217391304	0.882352941176471	1	1	0.217822026559519	0.549799554600843	1	TRUE	-9.36053888732992	-10.2258302303596	-0.865291343029666	88	92	57	55	0.647727272727273	0.597826086956522	0.539922451860892	0.159636384670848	0.297462132949349
HAVCR2	1.37513456686158	0.400293217098769	-0.974841349762815	23	17	14	10	0.608695652173913	0.588235294117647	1	1	0.218688839683722	0.5511189220571	1	TRUE	-16.7385860011744	-16.5468551496903	0.191730851484145	88	92	4	6	0.0454545454545455	0.0652173913043478	0.747446084227615	0.581309531992527	0.796679474688771
ABL1	1.01363783687251	0.937616301254691	-0.076021535617822	23	17	4	5	0.173913043478261	0.294117647058824	0.605145574664024	0.456081081081081	0.524735094410155	0.581539023169868	1	TRUE	-14.6310986955019	-15.0556522890602	-0.424553593558306	88	92	21	18	0.238636363636364	0.195652173913043	0.587664925842785	0.560745575501162	0.695337822665149
CDK6	3.76668595455282	4.33300690515344	0.566320950600623	23	17	15	13	0.652173913043478	0.764705882352941	0.675378834564654	0.504846225535881	0.560284886816839	0.64005362270436	1	TRUE	-3.18133585942922	-2.34055713691817	0.840778722511047	88	92	87	92	0.988636363636364	1	0.488888888888889	0.00614341065498282	0.0204474407057638
TP53	1.5583324402314	2.3809842283612	0.822651788129806	23	17	6	6	0.260869565217391	0.352941176470588	0.780102913601558	0.728464059164838	0.489035767721172	0.723938476665242	1	TRUE	-4.51083196797038	-3.11851453570495	1.39231743226544	88	92	79	89	0.897727272727273	0.967391304347826	0.0761846213687511	0.020125523909606	0.0114693056932854
ALOX5	0.112830735141	0	-0.112830735141	23	17	1	0	0.0434782608695652	0	1	1	0.418426121960601	0.782981945733721	1	TRUE	-16.8962316432581	-17.177290069468	-0.281058426209913	88	92	3	1	0.0340909090909091	0.0108695652173913	0.359879593742364	0.287015024058773	0.337782407962705
IL2RA	0.422475803270167	0	-0.422475803270167	23	17	1	0	0.0434782608695652	0	1	1	0.418426121960601	0.782981945733721	1	TRUE	-16.5340244906913	-16.6439967268486	-0.109972236157304	88	92	6	5	0.0681818181818182	0.0543478260869565	0.763045002554732	0.732957518923217	0.884280176197777
MYC	2.5401982117623	2.71883218803045	0.178633976268153	23	17	12	10	0.521739130434783	0.588235294117647	0.923173228194536	0.754699415767269	0.719829873885889	0.874736523665911	1	TRUE	-7.82760539397809	-5.85204695260196	1.97555844137613	88	92	63	77	0.715909090909091	0.83695652173913	0.0721674219102099	0.0161474871432195	0.00903679340543211
HPRT1	3.38996235897267	3.50737145885066	0.117409099877998	23	17	11	8	0.478260869565217	0.470588235294118	1	1	0.615068136343402	0.914004921424494	1	TRUE	-7.12563517992568	-6.284631785546	0.841003394379672	88	92	76	87	0.863636363636364	0.945652173913043	0.075511437102829	0.736580729047985	0.216318773698385
