gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
ANXA2P1	0.995504346382019	0.156510249855743	-0.838994096526277	477	232	173	13	0.362683438155136	0.0560344827586207	6.8212963388632e-18	2.9697481433089e-21	1.24445511438175e-17	3.22233587880884e-36	4.14392394014817e-33
ANXA2P2	2.34303351637374	0.466969816760662	-1.87606369961308	477	232	250	44	0.524109014675052	0.189655172413793	4.46053828297031e-17	4.68257293133817e-18	9.01572788687817e-20	3.57810269748579e-35	4.29467739770227e-32
RXFP1	1.73861206727172	0.187101588397065	-1.55151047887466	477	232	156	11	0.327044025157233	0.0474137931034483	3.99941023667769e-16	2.94593946169043e-19	1.80023093534206e-16	4.23856764018489e-33	4.76944823711805e-30
MARCKS	1.45269938470929	0.181318050548055	-1.27138133416124	477	232	149	9	0.312368972746331	0.0387931034482759	4.78666470080044e-16	1.36913751209333e-19	4.4383110324032e-16	4.84832387098846e-33	5.1346601748986e-30
RTN4	4.11820356158588	2.00682504732297	-2.11137851426291	477	232	327	77	0.685534591194969	0.331896551724138	9.32993026668619e-19	4.45006555487448e-19	1.95102862917219e-15	6.69629128028557e-32	6.69777934501452e-29
PIEZO2	0.957818324101103	0.00539949515236691	-0.952418828948736	477	232	113	2	0.236897274633124	0.00862068965517241	2.38512965247359e-14	3.2977391809391e-19	9.03786913783597e-15	2.26196251983499e-31	2.14338806353206e-28
DNTT	0.0364378681938474	0.988832986620374	0.952395118426527	477	232	12	50	0.0251572327044025	0.21551724137931	1.26104223097908e-16	5.11640914888143e-16	1.62244395792643e-17	6.21493439904033e-31	5.5946839460161e-28
PRSS1	0.357251600216864	1.86711919311828	1.50986759290141	477	232	38	75	0.079664570230608	0.323275862068966	2.29357596370976e-16	1.1887288133314e-15	1.72770538119971e-17	1.5190331578588e-30	1.30231776067094e-27
NET1	1.88581366175146	0.484790243566146	-1.40102341818532	477	232	194	25	0.406708595387841	0.107758620689655	1.27509280806126e-15	2.18266599544426e-17	2.10934044405325e-15	3.36808256910185e-30	2.75631629882317e-27
ANXA2P3	0.586308403085374	0.0900678697155342	-0.49624053336984	477	232	148	11	0.310272536687631	0.0474137931034483	7.39335349080321e-15	8.25822005799333e-18	8.42466397492959e-15	5.06092453286191e-30	3.86280966354176e-27
PDLIM1	2.29972906790211	0.494726551531505	-1.8050025163706	477	232	195	26	0.408805031446541	0.112068965517241	2.42737722195931e-15	5.74740690856155e-17	1.23193430833429e-15	5.14926860281062e-30	3.86280966354176e-27
TTC34	0.546975978839404	1.50993564331604	0.962959664476636	477	232	132	134	0.276729559748428	0.577586206896552	1.58364668165812e-14	1.50148335193319e-14	5.71349451087805e-18	6.22243834940432e-30	4.48115120170701e-27
C16orf54	4.310316972935	6.98909564730509	2.67877867437008	477	232	381	220	0.79874213836478	0.948275862068966	3.62654789167816e-07	2.99715808741194e-08	3.34979693231859e-24	7.26647294562748e-30	5.03175303511835e-27
NOG	1.50027546919997	3.94970152153889	2.44942605233892	477	232	162	147	0.339622641509434	0.633620689655172	2.36035176729381e-13	2.14220229514411e-13	9.82225165180152e-19	1.50731599884348e-29	1.00510063863622e-26
PRSS3P2	0.383766796822936	1.99550734764002	1.61174055081708	477	232	43	77	0.090146750524109	0.331896551724138	1.89741111474809e-15	8.36256348815823e-15	7.98084148863772e-17	4.70398364336326e-29	3.02466148268258e-26
TUBB6	1.35381387387053	0.0838411295299091	-1.26997274434062	477	232	118	5	0.247379454926625	0.021551724137931	2.05608736403752e-13	5.50953698124168e-17	8.63396816834281e-14	3.25934194721713e-28	2.0234893937137e-25
CDH2	0.00544640910901857	0.608069760619935	0.602623351510916	477	232	2	33	0.00419287211740042	0.142241379310345	7.44176129649911e-15	5.78424642285154e-15	1.50006278718049e-15	5.8929686176367e-28	3.53656689973104e-25
C1orf228	2.49324736638043	0.752911440332467	-1.74033592604797	477	232	215	36	0.450733752620545	0.155172413793103	2.20864481976552e-14	1.48480794850139e-15	8.40261880973402e-15	8.42818850367563e-28	4.894874381296e-25
DUSP1	3.99352497947228	6.47303785424035	2.47951287476806	477	232	326	215	0.683438155136268	0.926724137931034	1.73882062490344e-12	2.8808035921504e-14	4.52835300808866e-16	8.80676494894198e-28	4.95490612939848e-25
CD164	6.6214737700114	8.96159980357933	2.34012603356793	477	232	445	228	0.932914046121593	0.982758620689655	0.00794917400767316	0.00327415157058846	4.48168212467858e-27	9.88883031080689e-28	5.39510608835658e-25
S100A10	2.01928123268186	0.296619786021121	-1.72266144666074	477	232	150	14	0.314465408805031	0.0603448275862069	1.05171364115332e-13	5.87981046032522e-16	2.93306911884415e-14	1.15944085360266e-27	6.13958033184186e-25
PROM1	1.66964742151752	3.75393137813262	2.0842839566151	477	232	147	139	0.308176100628931	0.599137931034483	2.33151233305193e-13	2.17504205164249e-13	1.06947494363568e-16	1.556911676374e-27	8.00875366326785e-25
CCDC42	0.125347990626825	1.11773035167836	0.992382361051535	477	232	9	42	0.0188679245283019	0.181034482758621	1.51295375165893e-14	4.41713880678904e-14	4.10608932331771e-15	1.17668503165052e-26	5.88473258606552e-24
ID1	1.28259335607904	0.0583727916698264	-1.22422056440921	477	232	111	5	0.232704402515723	0.021551724137931	2.17035378740314e-12	1.24732570903571e-15	7.91930587655679e-13	6.241096408463e-26	3.03688377670184e-23
HOPX	2.99895048605989	5.43625697392701	2.43730648786712	477	232	259	187	0.542976939203354	0.806034482758621	1.80927604776815e-11	3.78098072731203e-12	5.0633131450243e-16	1.19690821352724e-25	5.67082512535378e-23
CTNNB1	6.93028296372307	5.11507253315149	-1.81521043057158	477	232	470	207	0.985324947589098	0.892241379310345	6.33603673548498e-08	8.98162391131087e-08	3.59477569152707e-20	2.00171564074199e-25	9.24074061433816e-23
HLA-G	0.458489924933243	1.14020170577643	0.681711780843187	477	232	163	142	0.341719077568134	0.612068965517241	1.57117878636402e-11	1.32184049794849e-11	3.40244748207535e-16	2.77343643207511e-25	1.24832373807701e-22
TSC22D1	3.71359831818316	6.15623657719287	2.44263825900971	477	232	307	202	0.643605870020964	0.870689655172414	5.11969100363967e-10	5.61572553362488e-11	2.02630445806248e-16	6.91148156739366e-25	3.03498327169159e-22
HNRNPL	5.98433008108745	4.41100224971509	-1.57332783137235	477	232	475	226	0.9958071278826	0.974137931034483	0.028948230048705	0.0173078732387334	7.08771598123084e-25	7.44171235230598e-25	3.19001402835516e-22
FLT3	0.932584446912702	2.4356996756216	1.50311522870889	477	232	86	102	0.180293501048218	0.439655172413793	4.16827793846634e-13	7.19765248713385e-13	5.42060125837496e-14	2.32165613446023e-24	9.72072024298187e-22
PLAG1	0.00396824055137015	0.708950697539704	0.704982456988334	477	232	2	29	0.00419287211740042	0.125	6.70043783233408e-13	5.76557722922428e-13	1.31237655191256e-13	4.45245473248587e-24	1.82186352281081e-21
KIT	0.844928777209923	2.18139558524941	1.33646680803949	477	232	81	99	0.169811320754717	0.426724137931034	3.26944241548436e-13	6.19744310485571e-13	1.56861460334814e-13	5.69604836671615e-24	2.27892566209683e-21
GOLGA8A	3.82580364121978	2.02741465027428	-1.7983889909455	477	232	340	104	0.712788259958071	0.448275862068966	1.50038492240245e-11	1.42665149949722e-11	4.13724108514843e-14	3.35193043908551e-23	1.31191642663686e-20
C1orf54	1.75164336188855	0.383537319560018	-1.36810604232853	477	232	173	26	0.362683438155136	0.112068965517241	6.02171429604101e-12	4.33878754305468e-13	1.43117810402711e-12	3.52322339807167e-23	1.34961944806133e-20
TPSAB1	1.11736786583262	0.0336273052519645	-1.08374056058066	477	232	93	3	0.19496855345912	0.0129310344827586	6.57850955413464e-11	3.52696941826525e-14	2.46543661171142e-11	4.90443122487823e-23	1.83957041193141e-20
GOLGA8S	1.53009181804683	0.595691811653539	-0.934400006393292	477	232	239	52	0.50104821802935	0.224137931034483	3.61468455281526e-12	9.00561980082672e-13	1.37251678568936e-12	6.92800057838209e-23	2.54554535537125e-20
CCNL1	3.95832971552238	2.0708197862528	-1.88750992926958	477	232	310	85	0.649895178197065	0.366379310344828	1.78579113575244e-12	1.48368845914183e-12	1.40709905648962e-12	1.15921403181941e-22	4.17409788577533e-20
HIST1H2BG	1.30418458233142	3.01446072597778	1.71027614364636	477	232	139	130	0.291404612159329	0.560344827586207	7.81596034024131e-12	8.54956329982059e-12	3.12184916844543e-13	1.47545649841439e-22	5.20865074459856e-20
MT2A	2.5809435515576	0.912008980001813	-1.66893457155579	477	232	209	40	0.438155136268344	0.172413793103448	6.3613129917912e-12	1.03914638190525e-12	3.53236303806893e-12	2.01744649644278e-22	6.98502052345303e-20
MT1X	1.16306866394366	0.350616199218247	-0.812452464725415	477	232	175	27	0.366876310272537	0.116379310344828	7.65931942317041e-12	5.72120649124392e-13	9.73234501594584e-12	3.03710640346527e-22	1.03169931486771e-19
DUXAP8	0.974174312970241	0.0671975253523178	-0.906976787617923	477	232	107	7	0.224318658280922	0.0301724137931034	8.35326715211796e-11	4.99609430271489e-13	1.91913450711838e-11	5.17776048886236e-22	1.72630370076811e-19
PRSS21	1.7810246371974	0.306925821309601	-1.4740988158878	477	232	133	14	0.278825995807128	0.0603448275862069	3.25925589944184e-11	6.8380451639849e-13	1.724567416094e-11	6.34381535630312e-22	2.07661912136148e-19
NCF4	4.07873029067247	1.95736211157055	-2.12136817910192	477	232	290	78	0.607966457023061	0.336206896551724	1.87780891750996e-11	1.18310656767965e-11	1.43956131276615e-12	9.09943899740175e-22	2.92546963766466e-19
PTBP3	2.11723490108628	0.796638379608922	-1.32059652147736	477	232	207	40	0.433962264150943	0.172413793103448	1.25109790254222e-11	1.85803677281508e-12	1.71033654082969e-11	1.67801757363331e-21	5.3001804202972e-19
NR4A2	0.312796087187255	1.34978072244649	1.03698463525923	477	232	29	56	0.0607966457023061	0.241379310344828	8.96276192836484e-12	2.52899354413992e-11	1.95334941110793e-12	2.58669147001958e-21	8.02944710797113e-19
GOLGA8G	0.900375742518379	0.360619385845353	-0.539756356673026	477	232	219	45	0.459119496855346	0.193965517241379	1.29129159827532e-11	2.30225328202843e-12	2.68146416349696e-11	3.2187667752839e-21	9.82214864783243e-19
LAPTM4B	4.02960410557162	2.04468222383795	-1.98492188173367	477	232	310	88	0.649895178197065	0.379310344827586	1.67494284836202e-11	1.46064738453727e-11	4.64733317414009e-12	3.53282586208224e-21	1.06008328034881e-18
DUSP10	2.27719952689833	0.958651028719419	-1.31854849817892	477	232	203	38	0.425576519916143	0.163793103448276	9.09862699590744e-12	1.29220510645526e-12	5.38760577120539e-11	3.62150684900423e-21	1.06887884113889e-18
YBX1	5.88243748492404	3.88998202724194	-1.9924554576821	477	232	427	166	0.895178197064989	0.71551724137931	2.53002010613615e-09	4.86108138163038e-09	2.63124936366257e-14	6.57580208407847e-21	1.90952807615724e-18
TPSB2	1.10481986893651	0.0328874921127779	-1.07193237682373	477	232	91	4	0.190775681341719	0.0172413793103448	4.18323400272706e-10	1.10311873401171e-12	1.25743150974904e-10	7.11991784823939e-21	2.03471430063019e-18
PRSS3	0.291884602796369	1.48125202108103	1.18936741828466	477	232	34	59	0.0712788259958071	0.254310344827586	2.83181017923117e-11	7.68247148128822e-11	1.97758685085764e-12	7.78456059873677e-21	2.18989420343214e-18
TFRC	3.4345614938195	1.55249855319794	-1.88206294062156	477	232	267	69	0.559748427672956	0.297413793103448	8.95079576131075e-11	3.84798373155338e-11	5.41289741291959e-12	1.06066455595081e-20	2.93787764082128e-18
PDE4B	0.566806579249678	1.82844197214822	1.26163539289854	477	232	62	80	0.129979035639413	0.344827586206897	3.9240232523766e-11	7.42887496654473e-11	3.10027987388048e-12	1.17052514147572e-20	3.19305070411045e-18
C10orf128	1.08253958932874	0.0909273998655852	-0.991612189463156	477	232	90	4	0.188679245283019	0.0172413793103448	5.72461256780494e-10	1.17235443877334e-12	3.35899015174048e-10	1.98023454726647e-20	5.32121534163962e-18
SDK2	0.054747860871759	0.443392069243048	0.388644208371289	477	232	5	30	0.010482180293501	0.129310344827586	2.58834926395473e-11	4.33182010989962e-11	1.10863987210793e-11	2.40542839268366e-20	6.36872540909951e-18
TPSD1	0.717137913872601	0.0251270908024525	-0.692010823070148	477	232	80	2	0.167714884696017	0.00862068965517241	1.1302141879743e-09	1.1033783194008e-12	4.90553493921445e-10	2.70460549983053e-20	7.05706049549985e-18
DUXAP10	0.856038222701966	0.0268759834985808	-0.829162239203385	477	232	75	1	0.157232704402516	0.00431034482758621	1.48148774681868e-09	8.64794081317518e-13	7.95550803151661e-10	3.42124353692085e-20	8.79943837696042e-18
SNHG15	3.17477931684456	1.47011151761079	-1.70466779923377	477	232	241	56	0.505241090146751	0.241379310344828	4.10011285016558e-11	1.2022066059159e-11	6.38583395523557e-11	3.8092678534877e-20	9.65944484988628e-18
MAGED2	2.50309755703068	4.42411824698294	1.92102068995226	477	232	249	175	0.522012578616352	0.754310344827586	5.29536877603386e-09	2.07619633215882e-09	4.75790666030613e-13	4.87659748094055e-20	1.21942029231741e-17
MPL	5.22092527904793	7.54540007109947	2.32447479205154	477	232	413	224	0.865828092243187	0.96551724137931	6.58671582162256e-05	1.5394093671317e-05	8.53420774881894e-17	6.44813609828067e-20	1.59030468922528e-17
C6orf25	2.89502761061869	1.63141273830309	-1.26361487231561	477	232	372	126	0.779874213836478	0.543103448275862	1.743579426313e-10	2.08069481997214e-10	1.06275907799355e-11	1.07381210781215e-19	2.61255583635809e-17
KIAA0125	3.92496892558671	5.42799839092904	1.50302946534233	477	232	371	210	0.777777777777778	0.905172413793103	5.48606165467319e-05	2.65784860110384e-05	9.62544052863636e-17	1.23859778796002e-19	2.97329527659095e-17
EZH2	2.0194745044125	0.826635816020588	-1.19283868839192	477	232	204	41	0.427672955974843	0.176724137931034	7.58367556741413e-11	1.81018140901064e-11	1.53559954895106e-10	1.34348955643132e-19	3.14723176909345e-17
MT1G	0.850498027030581	0.226215984271808	-0.624282042758773	477	232	147	21	0.308176100628931	0.0905172413793103	2.95712786127174e-10	2.05185565755558e-11	1.3573338070565e-10	1.34601669751275e-19	3.14723176909345e-17
SELP	0.110910274114823	0.923729805138049	0.812819531023226	477	232	10	35	0.0209643605870021	0.150862068965517	8.4581354773957e-11	1.81881851092254e-10	2.78432228994948e-11	2.41723775585074e-19	5.57948058414573e-17
MMEL1	0.589395614244389	1.21912731735242	0.629731703108035	477	232	165	137	0.345911949685535	0.59051724137931	1.0666212027711e-09	9.80647765363487e-10	5.29684546218897e-12	2.47804894762718e-19	5.64744218393414e-17
WDR43	4.50308827224001	3.03592658828014	-1.46716168395987	477	232	413	149	0.865828092243187	0.642241379310345	1.10823341528871e-11	2.88079147435101e-11	2.26878555364747e-10	3.10304684057916e-19	6.96704696242111e-17
MRPL16	4.37420773952023	6.56772507420589	2.19351733468566	477	232	389	217	0.815513626834382	0.935344827586207	3.54984318731986e-05	1.22400192337183e-05	5.3950287813466e-16	3.13447458318213e-19	6.96704696242111e-17
FTL	9.97392845202516	11.4050446328443	1.43111618081912	477	232	472	232	0.989517819706499	1	0.277164456506167	0.178643243421468	5.96325692826239e-20	5.00565866617747e-19	1.09904730031536e-16
ID2	2.07407602315238	0.444208245166049	-1.62986777798633	477	232	152	24	0.318658280922432	0.103448275862069	8.71390641961955e-10	8.7533253152251e-11	1.31280029348165e-10	5.39090995909096e-19	1.16937280606595e-16
LOC100507217	3.77410997772485	2.16445605002204	-1.60965392770281	477	232	325	99	0.681341719077568	0.426724137931034	1.49043642932165e-10	1.3959581403952e-10	8.81558493718222e-11	5.76473323582137e-19	1.23557449021105e-16
SPINK2	7.18898926804358	9.64984926828072	2.46086000023714	477	232	454	231	0.951781970649895	0.995689655172414	0.0049234202099042	0.00136093436813176	9.66136854477037e-18	6.15059733780434e-19	1.30276887611564e-16
LOC101928834	2.3149606458154	0.764905742976768	-1.55005490283863	477	232	179	34	0.375262054507338	0.146551724137931	7.97237522773145e-10	1.24019800745864e-10	1.15322232225733e-10	6.67826958470292e-19	1.39808797212781e-16
GOLGA8B	3.90426752917661	2.22915764637993	-1.67510988279667	477	232	346	114	0.725366876310273	0.491379310344828	1.53891240868749e-09	1.94572104894326e-09	2.23305717931241e-11	1.98052552815582e-18	4.09854961022038e-16
CDC42	6.04612204784125	4.1583534009541	-1.88776864688715	477	232	433	177	0.907756813417191	0.762931034482759	3.31206968189609e-07	4.59116940892349e-07	1.04723328606422e-13	2.18675801574336e-18	4.47390810402767e-16
BHLHE40	1.32439368836162	0.330147802031155	-0.994245886330467	477	232	131	17	0.274633123689727	0.0732758620689655	1.11932854028158e-09	6.7447116247945e-11	7.28560736945126e-10	2.23385521100434e-18	4.51891339538452e-16
FHL1	3.48204843680427	1.59899547582792	-1.88305296097634	477	232	258	69	0.540880503144654	0.297413793103448	1.72755850181004e-09	8.52830040953425e-10	6.92082653922165e-11	2.6723416143656e-18	5.34587093611537e-16
SNHG9	4.18927814236536	2.43747717552735	-1.751800966838	477	232	333	110	0.69811320754717	0.474137931034483	1.22110669295994e-08	1.03210940174272e-08	7.12848628902806e-12	3.31493997848187e-18	6.5584812497349e-16
RHOB	0.61694342937642	0.0297739674408197	-0.5871694619356	477	232	73	2	0.153039832285115	0.00862068965517241	9.67496505387073e-09	2.10442316400255e-11	4.81550639972759e-09	4.53346673051834e-18	8.87179728437524e-16
LRRC70	2.43795103434562	4.29697947629226	1.85902844194664	477	232	215	159	0.450733752620545	0.685344827586207	7.00113295926228e-09	4.03273375213668e-09	2.68826123886832e-11	4.84251589255917e-18	9.37469420748767e-16
ERAP2	1.05563539989009	2.83695064309684	1.78131524320675	477	232	159	127	0.333333333333333	0.547413793103448	7.85846972949352e-08	6.489663514068e-08	1.88554191554714e-12	5.45104192729317e-18	1.04404849849985e-15
FLJ44635	0.273333647335603	0.0745223936625579	-0.198811253673045	477	232	120	14	0.251572327044025	0.0603448275862069	1.972794731043e-09	9.3021973058413e-11	1.42841159318822e-09	5.90821264267975e-18	1.11969958335586e-15
SEPT11	2.20817607068105	1.01671320792835	-1.1914628627527	477	232	249	64	0.522012578616352	0.275862068965517	9.80873320335073e-10	4.29837762405919e-10	3.33042104177863e-10	6.35466161220637e-18	1.19176382985587e-15
CD53	3.74115188528347	5.36944781399285	1.62829592870939	477	232	324	205	0.679245283018868	0.883620689655172	7.70881680390104e-09	1.41337767514194e-09	1.59843398444726e-10	9.92555419496615e-18	1.8422647188265e-15
ABL1	0.734345114549662	0.107415172446718	-0.626929942102945	477	232	90	6	0.188679245283019	0.0258620689655172	5.60446351776093e-09	6.4511814926075e-11	3.54913365659276e-09	1.00561377686782e-17	1.84745616721716e-15
TSC22D3	4.65784420115485	7.18666318981333	2.52881898865849	477	232	359	206	0.752620545073375	0.887931034482759	4.08736637342451e-05	1.67558734211037e-05	1.63452606693543e-14	1.19799108951531e-17	2.1786496541044e-15
HERC2P7	2.06684187323792	0.697778736350552	-1.36906313688736	477	232	246	66	0.515723270440252	0.28448275862069	9.50659160814402e-09	5.23820109541074e-09	6.1948878408373e-11	1.41391435252603e-17	2.54561140028786e-15
CMTM3	1.31355184482352	0.349670995322635	-0.963880849500888	477	232	134	19	0.280922431865828	0.0818965517241379	2.72922928010582e-09	2.36316523474807e-10	1.54485717544059e-09	1.58640480335895e-17	2.82788436432421e-15
FAM19A2	0.0845615533993584	0.674221635404515	0.589660082005156	477	232	6	28	0.0125786163522013	0.120689655172414	8.57091944223469e-10	1.41092854443347e-09	2.95566543151549e-10	1.80659256248633e-17	3.18881298970627e-15
SCHIP1	0.611408027900974	1.75700680540199	1.14559877750102	477	232	58	72	0.121593291404612	0.310344827586207	2.09039228606126e-09	3.77283181924671e-09	1.13995358404186e-10	1.86185237740372e-17	3.254445650755e-15
CFHR1	1.10202533097417	0.243058488404959	-0.858966842569215	477	232	123	16	0.257861635220126	0.0689655172413793	5.11015924101021e-09	3.63652786105032e-10	1.75666940693202e-09	2.74018740541104e-17	4.74368596605966e-15
SCN9A	1.24896676271838	0.404762452442513	-0.844204310275871	477	232	143	22	0.29979035639413	0.0948275862068965	2.44466104442298e-09	2.26844991477358e-10	2.89841697962436e-09	2.81839301479103e-17	4.83260455602835e-15
FTH1P3	3.96111498473044	5.34226329777922	1.38114831304877	477	232	376	208	0.788259958071279	0.896551724137931	0.000570551426265895	0.000328677977820989	2.30027273832307e-15	3.23030859094875e-17	5.4866486671171e-15
HEMGN	2.3177320011318	3.83712767745416	1.51939567632237	477	232	208	159	0.436058700209644	0.685344827586207	7.62046165755978e-10	5.2891269363016e-10	1.67401066853137e-09	3.76901545637216e-17	6.34180881089013e-15
CKS2	5.06008846519354	3.00077554832177	-2.05931291687177	477	232	347	119	0.727463312368973	0.512931034482759	2.65565386598953e-08	3.38021706165413e-08	3.71489650597518e-11	5.30148407773733e-17	8.83777030885027e-15
CPVL	2.21313773915507	1.0009705560477	-1.21216718310737	477	232	178	34	0.373165618448637	0.146551724137931	1.08385648528456e-09	1.98679726204178e-10	1.15688213369613e-08	9.56500151877616e-17	1.57989254444079e-14
HNRNPAB	2.37841049362632	0.999108498330455	-1.37930199529586	477	232	210	50	0.440251572327044	0.21551724137931	9.29263473929497e-09	3.05679323636983e-09	7.61189265539066e-10	9.6799548270695e-17	1.58434460642327e-14
STAT4	1.24267944957068	0.390792690556419	-0.851886759014259	477	232	123	16	0.257861635220126	0.0689655172413793	5.11015924101021e-09	3.63652786105032e-10	7.2336045567501e-09	1.09112278342112e-16	1.76978149483909e-14
DNAJC12	1.05317781679885	0.167221753008444	-0.885956063790406	477	232	90	7	0.188679245283019	0.0301724137931034	1.64162716030308e-08	4.10633589695795e-10	9.99039114694862e-09	1.68341424697846e-16	2.69494861474578e-14
RIPK2	2.56657071414811	1.21921390208504	-1.34735681206306	477	232	210	48	0.440251572327044	0.206896551724138	2.28072905810942e-09	6.11797560621121e-10	6.73829210468232e-09	1.6914529741517e-16	2.69494861474578e-14
BST2	3.89404797100236	5.46908521510977	1.57503724410741	477	232	294	189	0.616352201257862	0.814655172413793	1.68923969073448e-07	5.50804215541512e-08	1.02301855958287e-10	2.29436529334048e-16	3.62348708257036e-14
SOCS2	4.80367886069648	2.71367465281475	-2.09000420788173	477	232	349	120	0.731656184486373	0.517241379310345	2.45588186315652e-08	3.06474955896405e-08	2.02768838309673e-10	2.52425130041326e-16	3.95188003588177e-14
SKIL	1.81617840712661	0.510598873644182	-1.30557953348243	477	232	221	58	0.463312368972746	0.25	7.73430856212037e-08	3.522441339909e-08	2.17482947433994e-10	3.0957253261281e-16	4.80477920444917e-14
SMARCC1	1.86240150709949	0.796653904413171	-1.06574760268632	477	232	187	40	0.392033542976939	0.172413793103448	6.8177382048695e-09	1.53864591882767e-09	5.45828453189053e-09	3.3860952139161e-16	5.21053489156799e-14
TOB1	1.56696071870535	3.09839701922492	1.53143630051957	477	232	132	116	0.276729559748428	0.5	8.16211743915584e-09	9.06425634908897e-09	1.08209608072844e-09	3.93937492203115e-16	6.01055136408888e-14
DDX21	3.05682131226332	1.86784222021923	-1.18897909204409	477	232	298	86	0.624737945492662	0.370689655172414	3.18247735600655e-10	2.77011801912401e-10	3.71163163525966e-08	4.12460728894518e-16	6.24028820421589e-14
FRY	0.123981912680107	0.610282197824117	0.486300285144011	477	232	22	43	0.0461215932914046	0.185344827586207	3.8894111339183e-09	7.73621124805563e-09	1.41799616623716e-09	4.39360293902443e-16	6.59186894284966e-14
EIF5AL1	3.84776657746969	2.81736531417406	-1.03040126329562	477	232	461	217	0.966457023060797	0.935344827586207	0.088159674978514	0.0764574930210045	1.46422194840436e-16	4.48150652186759e-16	6.66818540658712e-14
HCST	2.97094469718003	1.44245536477019	-1.52848933240984	477	232	235	60	0.492662473794549	0.258620689655172	4.88900756505801e-09	2.41856958017388e-09	5.67625807496409e-09	5.46762853985567e-16	8.06878559275094e-14
LINC01296	0.470357785211543	0.0288814519179477	-0.441476333293595	477	232	61	1	0.127882599580713	0.00431034482758621	1.01822267040615e-07	3.00959547961511e-10	5.61903349368556e-08	6.6999028040091e-16	9.80691464092519e-14
GLRX5	1.04130861154369	0.203028672813212	-0.838279938730477	477	232	105	12	0.220125786163522	0.0517241379310345	2.69711597035917e-08	1.4245814281294e-09	1.39395010637896e-08	7.83553712931327e-16	1.13766943932384e-13
STK17B	2.90603280303799	4.47879010342656	1.57275730038857	477	232	326	196	0.683438155136268	0.844827586206897	7.29988993087861e-06	3.19021351685803e-06	7.42494515231498e-12	9.30469524593473e-16	1.34017386566247e-13
HLA-F	0.629775246897132	1.0517711428523	0.421995895955167	477	232	135	119	0.283018867924528	0.512931034482759	3.48247013438356e-09	3.93950014280594e-09	6.78218168229269e-09	1.04632426827611e-15	1.49508112111452e-13
